字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
单据信息	单号	文本	系统生成	是	只读	只读	是	是	是	申请单唯一标识；按统一编码规范自动生成。	按《6.强盛ERP的编码规则和通用字段规则》第一节生成，前缀QTRKSQ	保存草稿时分配；用户不可编辑；取消、删除后单号不重用
单据信息	入库仓	关联选择	逻辑仓资料	是	是	是	是	是	是	本次入库的逻辑仓；一张申请单一个；库存按逻辑仓记账。	审核通过且启用的逻辑仓（含虚拟在途仓）	虚拟在途仓按普通入库仓办理，审核后正常推送仓库；已禁用逻辑仓不可新选
单据信息	业务类型	枚举	人工录入	是	是	是	是	是	是	本次入库原因，用于区分样品回收、借出归还等非购销入库。	盘盈、样品回收、借出归还、退料、赠品入库	枚举清单已定（2026-09-23）；筛选已开放
单据信息	备注	多行文本	人工录入	否	是	是	否	否	是	补充说明。	自由文本	长度按REMARK_500
状态与推送	单据状态	枚举	流程更新	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	一个字段串起审核、推送与执行；控制编辑、审核、取消与后续办理。	草稿、待审核、已审核、推送失败、待收货、取消中、已取消、已收货	状态owner为《单据与状态流转》§5.2；不另设推送中或推送成功状态
状态与推送	最近推送时间	日期时间	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	最近一次推送仓库的时间。	系统记录，格式YYYY-MM-DD HH:mm:ss	未推送时留空
状态与推送	推送失败原因	多行文本	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	推送仓库失败时记录；可据此判断是否重试或取消。	推送失败时记录	未失败时留空；推送失败自动重试最多3次（Q06）
终止信息	取消原因	多行文本	人工录入	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	取消申请单时录入的原因。	取消时录入	必填性待确认（Q04），确认前按必填画；未取消时留空
终止信息	取消操作人	用户引用	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	执行取消的用户。	执行取消的账号姓名	未取消时留空；用户引用只展示姓名
终止信息	取消时间	日期时间	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	取消生效时间。	系统记录，格式YYYY-MM-DD HH:mm:ss	未取消时留空
审核信息	审核人	用户引用	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	审核通过的操作人。	审核通过的操作人	未审核时留空；允许本人审核本人创建的单据（COM-FR01）
审核信息	审核时间	日期时间	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	审核通过时间。	系统记录，格式YYYY-MM-DD HH:mm:ss	未审核时留空
审核信息	撤回意见	多行文本	人工录入	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	待审核撤回时填写的原因；回到草稿后保留。	撤回时录入	未撤回时留空；无已驳回态，待审核不同意用撤回
商品明细	行号	数值	系统记录	是	只读	只读	否	否	是	明细行顺序号。	从1开始的整数	无
商品明细	商品	关联选择	商品资料	是	是	是	否	是	是	本行商品；明细展示商品名称。	启用的成品SKU	明细不重复选同一商品的建议待确认（Q03）
商品明细	商品编码	文本	商品资料	是	只读	只读	否	是	是	随商品带出，明细单独成列展示。	商品资料的商品编码	列表按编码模糊检索；随商品带出，不独立维护
商品明细	商品名称	文本	商品资料	是	只读	只读	否	否	是	随商品带出，明细单独成列展示。	商品资料的当前名称	商品改名后按最新名称展示
商品明细	基本单位	关联选择	商品资料	是	只读	只读	否	否	是	随商品带出，与商品名称一起展示，作为数量的计量口径。	商品资料的基本单位	一期不做单位换算
商品明细	申请入库数量	数值	人工录入	是	是	是	是	否	是	本行申请入库的数量；审核后固定。	整数；大于0；按基本单位	一期数量不允许小数；列表按各明细行合计展示
商品明细	实收数量	数值	系统回写	条件必填	否	只读	是	否	是	仓库实际入库数量；由已审核其他入库单按来源行回写。	整数；不小于0；不超过申请入库数量	最终结果未确认前留空，页面显示 `-`；零收按取消处理，实收显示0、未收＝申请数量（《单据分层设计》§6.4）；已收货后不再回补
商品明细	未收数量	数值	系统计算	是	否	只读	是	否	是	未收数量＝申请入库数量−实收数量；结果未确认前按尚未执行的计划数量展示。	整数；不小于0	已收货后的未收表示本次最终未执行数量，不代表可补收；零收按取消处理时未收＝申请数量
系统信息	创建人	用户引用	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	建单人员。	建单人员	无
系统信息	创建时间	日期时间	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	建单时间；列表默认按此列倒序。	系统记录，格式YYYY-MM-DD HH:mm:ss	安排单列表默认按创建时间倒序
系统信息	最后更新人	用户引用	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	最近修改人员。	最近修改人员	无
系统信息	最后更新时间	日期时间	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	最近修改时间。	系统记录，格式YYYY-MM-DD HH:mm:ss	无
