字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
价格信息	面向范围	枚举	商品建档或价格调整单	销售价格的适用对象范围；所有客户、客户等级、具体客户三者之一。
价格信息	客户等级	枚举	价格调整单	面向范围为客户等级时填写；取值与客户资料的客户等级一致。
价格信息	客户	关联选择	客户资料	面向范围为具体客户时填写；审核通过且启用的客户。
价格信息	商品编码	文本	商品资料	价目对应商品；按商品实时带出，不保存快照；列表按编码检索。
价格信息	商品条码	多行文本	商品资料	按商品实时带出；商品有多个条码时逐条展示。
价格信息	商品名称	文本	商品资料	按商品实时带出，不保存快照。
价格信息	基本单位	关联选择	商品资料	价目按商品基本单位计价；一期不做单位换算和数量阶梯价。
价格信息	币别	关联选择	辅助资料／币别	价格所属币别；不同币别价格互相独立，不做汇率换算。
价格信息	含税单价	金额	商品建档或价格调整单	当前销售价；商品建档生成销售基准价或销售价格调整单审核通过后写入；保留4位小数。
价格信息	税率	数值	商品建档或价格调整单	当前销售价对应税率；百分比最多2位小数，允许0%。
价格信息	不含税单价	金额	系统计算	按含税单价和税率计算，保留4位小数；税率0%时等于含税单价。
来源与更新	最近调整单号	文本	系统回写	最近一次审核通过并生效的销售价格调整单号；商品建档生成的记录为空。
操作信息	创建人	用户引用	系统记录	价目记录生成的操作人。
操作信息	创建时间	日期时间	系统记录	价目记录生成时间。
操作信息	最后更新人	用户引用	系统记录	最近一次覆盖价目记录的操作人。
操作信息	最后更新时间	日期时间	系统记录	最近一次覆盖时间；列表默认按此列倒序。
