字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
单据信息	单号	文本	系统生成	调拨单唯一标识；按统一编码规范自动生成，前缀FBDB。
单据信息	调出仓	关联选择	逻辑仓资料	本次调拨的发出逻辑仓；不能选择虚拟在途仓，不能与接收仓相同。
单据信息	接收仓	关联选择	逻辑仓资料	本次调拨的接收逻辑仓；不能选择虚拟在途仓，不能与调出仓相同。
单据信息	备注	多行文本	人工录入	补充说明。
数量进度	计划调拨数量合计	数值	系统计算	各明细行计划调拨数量之和。
数量进度	累计实际调出合计	数值	系统回写	各明细行累计实际调出之和；由已审核调出端直接调拨单回写。
数量进度	累计实际调入合计	数值	系统回写	各明细行累计实际调入之和；由已审核调入端直接调拨单回写。
数量进度	在途数量合计	数值	系统计算	调拨在途＝累计实际调出−累计实际调入；少收差额继续留在途。
状态信息	审核状态	枚举	流程更新	草稿、待审核、已审核；控制编辑、审核与能否进入两端执行。
状态信息	业务状态	枚举	流程更新	正常、已关闭、已取消；已关闭在页面展示为「已完结」。
状态信息	关闭方式	枚举	系统记录	两端执行完成自动完结时记录；系统自动完结，关闭原因与关闭操作人留空。
状态信息	关闭时间	日期时间	系统记录	主单自动完结的时间；未完结时留空。
终止信息	取消原因	多行文本	人工录入	待审核取消或零调出按取消时记录；未取消时留空。
终止信息	取消操作人	用户引用	系统记录	执行取消的用户；零调出由系统按取消处理时留空。
终止信息	取消时间	日期时间	系统记录	取消生效时间；未取消时留空。
审核信息	审核人	用户引用	系统记录	审核通过的操作人；未审核时留空。
审核信息	审核时间	日期时间	系统记录	审核通过时间；未审核时留空。
审核信息	撤回意见	多行文本	人工录入	待审核撤回时填写的原因；回到草稿后保留。
商品明细	行号	数值	系统记录	明细行顺序号。
商品明细	商品	关联选择	商品资料	本行商品；明细展示商品名称。
商品明细	商品编码	文本	商品资料	随商品带出，明细单独成列展示。
商品明细	商品名称	文本	商品资料	随商品带出，明细单独成列展示。
商品明细	基本单位	关联选择	商品资料	随商品带出，作为数量的计量口径；一期不做单位换算。
商品明细	计划调拨数量	数值	人工录入	本行计划调拨的数量；审核时按此数量预占调出仓。
商品明细	累计实际调出	数值	系统回写	调出仓实际发出的数量；由已审核调出端直接调拨单按来源行回写。
商品明细	累计实际调入	数值	系统回写	接收仓实际收到的数量；由已审核调入端直接调拨单按来源行回写。
商品明细	未调出数量	数值	系统计算	未调出数量＝计划调拨数量−累计实际调出；零调出时等于计划调拨数量。
商品明细	在途数量	数值	系统计算	本行调拨在途＝累计实际调出−累计实际调入；少收差额继续留在途。
系统信息	创建人	用户引用	系统记录	建单人员。
系统信息	创建时间	日期时间	系统记录	建单时间；列表默认按此列倒序。
系统信息	最后更新人	用户引用	系统记录	最近修改人员。
系统信息	最后更新时间	日期时间	系统记录	最近修改时间。
