字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
库存信息	逻辑仓	关联选择	逻辑仓资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	每行库存归属的逻辑仓；一个逻辑仓与一个商品构成一行库存。	全部逻辑仓（含已禁用；已禁用逻辑仓可能有存量库存），按 Code-Name 展示	行唯一性见《实体对象关系》§一；禁用只影响新单选用（《4.强盛ERP全局业务规则与约束》§一）；筛选可多选
库存信息	所属实体仓	关联选择	实体仓资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	逻辑仓归属的实体仓，按逻辑仓实时带出。	按逻辑仓带出的实体仓（查询含已禁用），按 Code-Name 展示	实体仓禁用不级联影响既有逻辑仓业务（《4.强盛ERP全局业务规则与约束》§一）；筛选选项含已禁用实体仓
库存信息	商品编码	文本	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	库存对应商品；按商品实时带出，不保存快照。	商品资料的商品编码	列表按编码模糊检索；支持批量查询（多个编码用换行或逗号分隔，任一命中）
库存信息	商品条码	多行文本	商品资料	否	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	按商品实时带出；多条码逐条展示。	商品资料的商品条码，一行一条	列表按条码模糊检索，任一条码命中即可；支持批量查询
库存信息	商品名称	文本	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	按商品实时带出，不保存快照。	商品资料的当前名称	商品改名后按最新名称展示
库存信息	基本单位	关联选择	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	数量按商品基本单位展示。	商品资料的基本单位	一期不做单位换算（《6.强盛ERP的编码规则和通用字段规则》Q16）
库存信息	库存状态	枚举	逻辑仓资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	逻辑仓的库存状态；相同实体仓下可有多个相同状态的逻辑仓。	正常品、残次品、待检品	枚举逐字来自《逻辑仓资料（详细稿）》；一期不按库存状态限制业务用途（INV-FR05）；筛选可多选
库存信息	即时库存	数值	系统计算	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	ERP库存账上的实物数量；实际入库增加、实际出库减少。	整数；按基本单位；0按0展示	不代表任意时刻与仓库实物一致（INV-FR01）；通知、申请本身不改变（《单据与状态流转》§九）
库存信息	预占库存	数值	系统计算	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	已审核正常业务预留的数量；审核占用，实际出库消耗，取消、关闭或执行结束释放。	整数；按基本单位	来源与生命周期见《预占与冻结主PRD》F01、F02；「查看来源」入口与跳转库存流水见《库存查询主PRD》R11、R12
库存信息	冻结库存	数值	系统计算	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	人工冻结限制使用的数量；解冻后恢复可用。	整数；按基本单位	冻结、解冻规则见《预占与冻结主PRD》F03、F04
库存信息	可用库存	数值	系统计算	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	可用库存＝即时库存−预占库存−冻结库存。	整数；不允许为负	计算与负库存阻断见《库存查询主PRD》R01、《预占与冻结主PRD》F05
库存信息	最后更新时间	日期时间	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	本行库存最近一次变化时间；含实际收发记账与冻结、解冻操作。	系统记录，格式 YYYY-MM-DD HH:mm:ss	时间口径为本模块定义；默认排序不按此列
冻结与解冻	冻结数量	数值	人工录入	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	否	冻结弹窗输入项：本次从可用量中冻结的数量。	整数；大于0且不超过当前可用库存	容器为冻结弹窗，数量在弹窗内录入；校验见《库存查询主PRD》F02
冻结与解冻	冻结原因	多行文本	人工录入	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	否	冻结弹窗输入项：本次冻结的原因说明。	多行文本	容器为冻结弹窗，原因在弹窗内录入；原因必填（2026-09-23确认）；长度按 REMARK_500
冻结与解冻	解冻数量	数值	人工录入	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	否	解冻弹窗输入项：本次解冻的数量。	整数；大于0且不超过当前冻结库存	容器为解冻弹窗，数量在弹窗内录入；校验见《库存查询主PRD》F03
冻结与解冻	解冻原因	多行文本	人工录入	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	否	解冻弹窗输入项：本次解冻的原因说明。	多行文本	容器为解冻弹窗，原因在弹窗内录入；原因必填（2026-09-23确认）；长度按 REMARK_500
