字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
库存信息	逻辑仓	关联选择	逻辑仓资料	每行库存归属的逻辑仓；一个逻辑仓与一个商品构成一行库存，不按实体仓合并。
库存信息	所属实体仓	关联选择	实体仓资料	逻辑仓归属的实体仓，按逻辑仓实时带出；实体仓禁用不级联影响既有逻辑仓业务。
库存信息	商品编码	文本	商品资料	库存对应商品；按商品实时带出，不保存快照；列表按编码检索，支持批量查询。
库存信息	商品条码	多行文本	商品资料	按商品实时带出；商品有多个条码时逐条展示；支持批量查询。
库存信息	商品名称	文本	商品资料	按商品实时带出，不保存快照。
库存信息	基本单位	关联选择	商品资料	数量按商品基本单位展示；一期不做单位换算。
库存信息	库存状态	枚举	逻辑仓资料	逻辑仓的库存状态：正常品、残次品、待检品；相同实体仓下可有多个相同状态的逻辑仓。
库存信息	即时库存	数值	系统计算	ERP库存账上的实物数量；实际入库增加、实际出库减少，通知和申请本身不改变。
库存信息	预占库存	数值	系统计算	已审核正常业务预留的数量；审核占用，实际出库消耗，取消、关闭或执行结束释放。
库存信息	冻结库存	数值	系统计算	人工冻结限制使用的数量；从可用量中冻结，解冻后恢复。
库存信息	可用库存	数值	系统计算	可用库存＝即时库存−预占库存−冻结库存；负数一律阻止。
库存信息	最后更新时间	日期时间	系统记录	本行库存最近一次变化时间；含实际收发记账与冻结、解冻操作。
冻结与解冻	冻结数量	数值	人工录入	冻结弹窗输入项：本次从可用量中冻结的数量；大于0且不超过当前可用库存。
冻结与解冻	冻结原因	多行文本	人工录入	冻结弹窗输入项：本次冻结的原因说明；必填。
冻结与解冻	解冻数量	数值	人工录入	解冻弹窗输入项：本次解冻的数量；大于0且不超过当前冻结库存。
冻结与解冻	解冻原因	多行文本	人工录入	解冻弹窗输入项：本次解冻的原因说明；必填。
