字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
基础信息	实体仓编码	文本	系统生成或手工录入	是	是	只读	是	是	是	实体仓业务标识；生成、唯一范围及修改规则见《6.强盛ERP的编码规则和通用字段规则》。	WH+6位序号；保存时校验唯一	编码规则见《6.强盛ERP的编码规则和通用字段规则》第二节；一经保存不可改；列表关键词可检索
基础信息	实体仓名称	文本	手工录入	是	是	是	是	是	是	实际仓储节点名称，如深圳仓、东莞电商仓；具体FBA或海外仓按实际节点识别。	非空文本	列表关键词可检索
基础信息	运营类型	枚举	人工选择	是	是	是	是	是	是	自营、第三方；深圳仓自营，东莞电商仓、FBA及第三方海外仓为第三方。	自营、第三方	无
基础信息	备注	多行文本	手工录入	否	是	是	否	否	是	建议字段；补充仓库说明。	多行文本	非必填
地址与联系	仓库地址	文本	手工录入	否	是	是	是	否	是	实体仓实际地址；逻辑仓共用，不重复维护；初稿先不拆行政区字段。	文本	非必填；逻辑仓不重复维护
地址与联系	联系人	文本	手工录入	否	是	是	是	是	是	仅一条联系人，不设多联系人明细或默认项。	文本	列表关键词可检索
地址与联系	联系电话	文本	手工录入	否	是	是	是	否	是	实体仓联系人的电话，保留区号等内容。	文本	非必填
对接信息	对接方式	枚举	人工配置	否	是	是	是	是	是	直连、SaaS中转；根据仓库实际业务链路确定。	直连、SaaS中转	无
对接信息	对接系统	关联选择	系统集成配置（待确认）	否	是	是	是	是	是	引用仓库作业系统、聚水潭或领星等实际对接系统；不将不同系统接口能力视为相同。	系统集成配置中的对接系统	适用系统清单与接口能力待确认（主PRD Q03）
对接信息	第三方仓库编码	文本	外部系统提供后维护	否	是	是	否	否	是	对应所选对接系统中的仓库编码；适用性及映射粒度待接口确认。	文本	映射粒度待确认（主PRD Q03）
对接信息	第三方仓库货主	文本	外部系统提供后维护	否	是	是	否	否	是	仓库或中转系统识别我方货主的标识；具体编码规则待接口确认。	文本	编码规则待确认（主PRD Q03）
对接信息	对接授权配置	关联选择	系统集成配置（待确认）	否	是	是	否	否	是	关联实际对接所需授权配置，不在初稿展开密钥等具体参数；授权方式及其他参数按接口确定。	系统集成配置中的授权配置	授权方式待确认（主PRD Q03）
审核与使用	审核状态	枚举	流程更新	不适用（系统赋值）	否	只读	是	是	是	草稿、待审核、审核通过、已驳回；沿用已讨论的提交审核流程，一期不指定岗位，有审核权限即可。	草稿、待审核、审核通过、已驳回	编辑页页头只读展示；列表按页签筛选；有权限即可审核（主PRD Q02）
审核与使用	使用状态	枚举	人工维护	不适用（系统赋值）	只读	只读	是	是	是	启用／禁用；禁用仅阻止新增逻辑仓引用，不级联改变已有逻辑仓状态，不阻断其业务或回传处理。	启用、禁用；新建与导入默认启用，仍须审核通过才能被引用	通过启用、禁用操作变更，不在表单编辑
审核与使用	审核人	用户引用	系统记录	不适用（系统赋值）	否	否	否	否	是	建议字段；最近一次审核操作人员。	系统记录	新增和编辑页不展示；未审核时留空
审核与使用	审核时间	日期时间	系统记录	不适用（系统赋值）	否	否	否	否	是	建议字段；最近一次审核操作时间。	系统记录	新增和编辑页不展示；未审核时留空
维护信息	创建人	用户引用	系统记录	不适用（系统赋值）	否	否	否	否	是	建档人员。	系统记录	新增和编辑页不展示
维护信息	创建时间	日期时间	系统记录	不适用（系统赋值）	否	否	否	否	是	建档时间。	系统记录	新增和编辑页不展示
维护信息	最后更新人	用户引用	系统记录	不适用（系统赋值）	否	否	否	否	是	最近修改人员。	系统记录	新增和编辑页不展示
维护信息	最后更新时间	日期时间	系统记录	不适用（系统赋值）	否	否	是	否	是	最近修改时间。	系统记录	列表默认按此列倒序
