字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
比对信息	比对时间	日期时间	系统记录	本次比对执行时间，精确到秒；系统每天自动比对一次，钟点由技术配置；不生成单据编号与状态。
比对维度	实体仓	关联选择	实体仓资料	比对行的仓库维度；ERP按实体仓汇总即时库存后与仓库快照比较；按 Code-Name 展示。
比对维度	商品编码	文本	商品资料	比对行对应商品；按商品实时带出，不保存快照；列表按编码检索，支持批量查询。
比对维度	商品条码	多行文本	商品资料	按商品实时带出；商品有多个条码时逐条展示；支持批量查询。
比对维度	商品名称	文本	商品资料	按商品实时带出，不保存快照。
比对维度	基本单位	关联选择	商品资料	数量按商品基本单位展示；一期不做单位换算。
比对维度	库存状态	枚举	逻辑仓资料	正常品、残次品、待检品；同一实体仓、同一商品、同一库存状态的全部逻辑仓汇总为一个数。
数量与差异	ERP即时库存汇总数量	数值	系统计算	该实体仓下同一库存状态全部逻辑仓的即时库存之和；不含虚拟在途仓，不扣预占与冻结；成功快照存在但ERP侧无该维度记录时按0参与并集比对（主PRD Q03）。
数量与差异	仓库数量	数值	仓库库存快照	仓库或SaaS回传的成功快照中「实体仓＋商品＋库存状态」对应的实体仓数量；单行无仓库侧记录时按0参与差异计算（主PRD Q03）。
数量与差异	快照时间	日期时间	仓库库存快照	仓库数量对应的数据时点，精确到秒；取数口径待确认（主PRD Q01）。
数量与差异	差异数量	数值	系统计算	差异数量＝ERP即时库存汇总数量−仓库数量；正数为ERP多、负数为仓库多、0为无差异；按双方数据并集成行，缺失侧按0参与计算（主PRD Q03）。
数量与差异	差异方向	枚举	系统计算	无差异、ERP多、仓库多；单边缺失侧按0计算后据差异数量确定方向（主PRD Q03）。
