字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
单据信息	单号	文本	系统生成	是	只读	只读	是	是	是	直接调拨单唯一标识；按统一编码规范自动生成。	按《6.强盛ERP的编码规则和通用字段规则》第一节生成，前缀ZJDB	人工一步式保存草稿时分配；自动生成的结果单在生成时分配；用户不可编辑
单据信息	来源类型	枚举	系统记录	是	只读	只读	是	是	是	本单来源。	分步式调出端、分步式调入端、人工一步式、仓库主动回传	人工一步式表单固定为「人工一步式」；回传与仓库主动回传由系统写入；创建后不可改
单据信息	来源分步式调拨单	关联选择	分步式调拨单	条件必填	否	只读	是	是	是	分步式两端结果关联的来源主单。	分步式调出端、调入端必填；人工一步式与仓库主动回传留空	点击可跳转来源主单详情
单据信息	来源通知单	关联选择	调出通知单/调入通知单	条件必填	否	只读	是	是	是	分步式路径的来源执行指令单。	分步式调出端取调出通知单；调入端取调入通知单；其他来源留空	点击可跳转对应通知单详情
单据信息	来源系统	文本	系统记录	条件必填	否	只读	否	否	是	仓库主动回传时的来源系统标识。	仓库主动回传时记录	其他来源留空；沿用「来源系统＋来源单号」识别（《6.强盛ERP的编码规则和通用字段规则》1.3）
单据信息	来源单号	文本	系统记录	条件必填	否	只读	否	否	是	仓库主动回传时的来源单号。	仓库主动回传时记录	其他来源留空
单据信息	来源逻辑仓	关联选择	逻辑仓资料	是	是	是	是	是	是	减少方的逻辑仓；库存按逻辑仓记账。	人工一步式：审核通过且启用的逻辑仓，不能选虚拟在途仓；分步式调出端为调出仓；调入端为虚拟在途仓；仓库主动回传按回传仓对	在途仓只用于分步式调拨在途记账，不能被人工选仓（《库存与仓储业务设计》§4.2）；展示按Code-Name
单据信息	目标逻辑仓	关联选择	逻辑仓资料	是	是	是	是	是	是	增加方的逻辑仓；不能与来源逻辑仓相同。	人工一步式：审核通过且启用的逻辑仓，不能选虚拟在途仓；分步式调入端为接收仓；调出端为虚拟在途仓；仓库主动回传按回传仓对	同上；来源与目标不能相同（同仓状态调整不成立）
单据信息	实际调拨时间	日期时间	系统记录	是	否	否	否	否	是	实际发生调整的时间。	系统记录，格式YYYY-MM-DD HH:mm:ss；自动回传取回传确认时间	人工一步式取审核通过时间
单据信息	业务日期	日期	系统记录	是	否	否	否	否	是	推送金蝶时使用的业务日期。	取实际调拨时间的日期部分	结果单列表默认按业务日期倒序（《6.强盛ERP的编码规则和通用字段规则》第三节）
