字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
价格信息	面向范围	枚举	商品建档或价格调整单	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	销售价格的适用对象范围；一条价格只对应一种范围及一个具体范围值。	所有客户／客户等级／具体客户	商品建档生成的销售基准价固定为所有客户；列表筛选项多选，未选等同全部（PRI-FR03）
价格信息	客户等级	枚举	价格调整单	条件必填（面向范围=客户等级）	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	等级价适用的客户等级。	与客户资料的客户等级一致：S、A、B、C、未评级	其他范围时为空，展示 `-`；按 Code-Name 之外的枚举文字展示
价格信息	客户	关联选择	客户资料	条件必填（面向范围=具体客户）	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	客户价适用的具体客户。	审核通过且启用的客户	其他范围时为空，展示 `-`；按 Code-Name 展示
价格信息	商品编码	文本	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	价目对应商品；按商品实时带出，不保存快照。	商品资料的商品编码	列表按编码模糊检索
价格信息	商品条码	多行文本	商品资料	否	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	按商品实时带出；多条码逐条展示。	商品资料的商品条码，一行一条	列表按条码模糊检索，任一条码命中即可
价格信息	商品名称	文本	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	按商品实时带出，不保存快照。	商品资料的当前名称	商品改名后按最新名称展示
价格信息	基本单位	关联选择	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	价目按商品基本单位计价。	商品资料的基本单位	一期不做单位换算和数量阶梯价（PRI-FR03；《6.强盛ERP的编码规则和通用字段规则》Q16）
价格信息	币别	关联选择	辅助资料／币别	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	价格所属币别；不同币别价格互相独立。	辅助资料维护的启用币别	按「{币别编码} {币别名称}」展示；不跨币别换汇（PRI-FR04）
价格信息	含税单价	金额	商品建档或价格调整单	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	当前销售价；商品建档生成销售基准价或销售价格调整单审核通过后写入。	大于0；保留4位小数	单价精度见《6.强盛ERP的编码规则和通用字段规则》Q14；页面按千分位展示
价格信息	税率	数值	商品建档或价格调整单	否	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	当前销售价对应税率。	百分比，最多2位小数，允许0%	按商品税务信息带出，取不到时留空，开单时再填（主PRD Q01已定）
价格信息	不含税单价	金额	系统计算	条件必填（税率有值时由系统计算）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	按含税单价和税率计算，不单独维护。	含税单价÷(1+税率÷100)，四舍五入保留4位小数；税率0%时等于含税单价；税率有值时按公式计算，税率空时为空	计算口径见主PRD R04
来源与更新	最近调整单号	文本	系统回写	否	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	最近一次审核通过并生效的销售价格调整单号。	销售价格调整单号；商品建档生成的记录为空	为空时展示 `-`；单号可点击跳转调整单详情（《价格业务设计》§5.2 追溯）
操作信息	创建人	用户引用	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	价目记录生成的操作人。	系统记录	可选列（列设置）；显示触发人员姓名（商品建档人、调整单审核人）（主PRD Q03已定）
操作信息	创建时间	日期时间	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	价目记录生成时间。	系统记录	商品建档生成或首次调价生效时写入
操作信息	最后更新人	用户引用	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	最近一次覆盖价目记录的操作人。	系统记录	可选列（列设置）；展示口径同创建人
操作信息	最后更新时间	日期时间	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	最近一次覆盖时间。	系统记录	列表默认按此列倒序；支持日期范围筛选
