字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
比对信息	比对时间	日期时间	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	本次比对执行时间，精确到秒；系统每天按配置钟点自动比对一次。	系统记录，格式 YYYY-MM-DD HH:mm:ss	筛选按比对日期范围（date-range；每天只有一次比对，不按时间点筛选）；默认排序按此列倒序
比对维度	实体仓	关联选择	实体仓资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	比对行的仓库维度；ERP按实体仓汇总即时库存后与仓库比较。	全部实体仓（含已禁用），按 Code-Name 展示	实体仓禁用不级联影响既有逻辑仓业务（《4.强盛ERP全局业务规则与约束》§一）；筛选单选
比对维度	商品编码	文本	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	比对行对应商品；按商品实时带出，不保存快照。	商品资料的商品编码	列表按编码模糊检索；支持批量查询（多个编码用换行或逗号分隔，任一命中）
比对维度	商品条码	多行文本	商品资料	否	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	按商品实时带出；多条码逐条展示。	商品资料的商品条码，一行一条	列表按条码模糊检索，任一条码命中即可；支持批量查询
比对维度	商品名称	文本	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	按商品实时带出，不保存快照。	商品资料的当前名称	商品改名后按最新名称展示
比对维度	基本单位	关联选择	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	数量按商品基本单位展示。	商品资料的基本单位	一期不做单位换算（《6.强盛ERP的编码规则和通用字段规则》Q16）
比对维度	库存状态	枚举	逻辑仓资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	比对行的库存状态；同一实体仓、同一商品、同一状态的全部逻辑仓汇总为一个数。	正常品、残次品、待检品	枚举逐字来自《逻辑仓资料（详细稿）》；同一实体仓同一状态可有多个逻辑仓（INV-FR08）；筛选可多选
数量与差异	ERP即时库存汇总数量	数值	系统计算	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	该实体仓下同一库存状态全部逻辑仓的即时库存之和；不含虚拟在途仓，不扣预占与冻结。	整数；按基本单位；0按0展示	INV-FR08、INV-AC08；比对不用可用量（主PRD R03）；本列可排序
数量与差异	仓库数量	数值	仓库库存快照	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	仓库或SaaS回传库存快照中「实体仓＋商品＋库存状态」对应的实体仓数量。	整数；按基本单位；单边缺失的取值口径待确认（主PRD Q03）	快照口径、时点与映射待核验（主PRD Q01、Q02）；本列可排序
数量与差异	快照时间	日期时间	仓库库存快照	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	仓库数量对应的数据时点，精确到秒。	系统记录，格式 YYYY-MM-DD HH:mm:ss	取数口径待确认（主PRD Q01）；列表紧跟仓库数量列展示
数量与差异	差异数量	数值	系统计算	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	差异数量＝ERP即时库存汇总数量−仓库数量。	整数；正数为ERP多、负数为仓库多、0为无差异；按基本单位	INV-AC08；不逐逻辑仓归因、不自动分摊（主PRD R04）；单边缺失的取值待确认（主PRD Q03）；本列可排序
数量与差异	差异方向	枚举	系统计算	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	按差异数量表达的方向，用于筛选只看有差异的行。	无差异、ERP多、仓库多	枚举逐字来自本清单；单边缺失的取值待确认（主PRD Q03）；筛选可多选
