字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
基础信息	组织编码	文本	金蝶同步（只读）	从金蝶已审核组织拉取，ERP只读；实际字段映射及适用性待确认。
基础信息	组织名称	文本	金蝶同步（只读）	从金蝶已审核组织拉取，ERP只读；实际字段映射及适用性待确认。
基础信息	上级组织	关联	金蝶同步（只读）	从金蝶已审核组织拉取，ERP只读；实际字段映射及适用性待确认。用于组织树，上下级关系不推定账套关系。
基础信息	组织类型	文本	金蝶同步（只读）	从金蝶已审核组织拉取，ERP只读；实际字段映射及适用性待确认。
基础信息	使用状态	文本	金蝶同步（只读）	从金蝶已审核组织拉取，ERP只读；实际字段映射及适用性待确认。
工商信息	企业名称	文本	金蝶同步（只读）	从金蝶已审核组织拉取，ERP只读；实际字段映射及适用性待确认。每组织一套。
工商信息	纳税人识别号	文本	金蝶同步（只读）	从金蝶已审核组织拉取，ERP只读；实际字段映射及适用性待确认。每组织一套。
工商信息	注册地址	文本	金蝶同步（只读）	从金蝶已审核组织拉取，ERP只读；实际字段映射及适用性待确认。每组织一套。
工商信息	注册电话	文本	金蝶同步（只读）	从金蝶已审核组织拉取，ERP只读；实际字段映射及适用性待确认。每组织一套。
联系信息	联系人	文本	金蝶同步（只读）	从金蝶已审核组织拉取，ERP只读；实际字段映射及适用性待确认。每组织一条联系信息。
联系信息	联系电话	文本	金蝶同步（只读）	从金蝶已审核组织拉取，ERP只读；实际字段映射及适用性待确认。每组织一条联系信息。
银行信息	账户名称	文本	金蝶同步（只读）	从金蝶已审核组织拉取，ERP只读；实际字段映射及适用性待确认。支持多条账户。
银行信息	银行账号	文本	金蝶同步（只读）	从金蝶已审核组织拉取，ERP只读；实际字段映射及适用性待确认。支持多条账户。
银行信息	开户银行	文本	金蝶同步（只读）	从金蝶已审核组织拉取，ERP只读；实际字段映射及适用性待确认。支持多条账户。
银行信息	开户支行	文本	金蝶同步（只读）	从金蝶已审核组织拉取，ERP只读；实际字段映射及适用性待确认。支持多条账户。
银行信息	账户币别	关联	金蝶同步（只读）	从金蝶已审核组织拉取，ERP只读；实际字段映射及适用性待确认。支持多条账户。
银行信息	是否默认账户	布尔	金蝶同步（只读）	从金蝶已审核组织拉取，ERP只读；实际字段映射及适用性待确认。支持多条账户。每组织最多一个默认项，来自金蝶；无默认项业务手选。
同步信息	源组织标识	文本	金蝶接口	建议技术字段；稳定识别同步记录，不是手工账套映射；实际标识待接口确认。
同步信息	最近同步时间	日期时间	系统记录	建议字段；记录最近成功接收更新的时间。
