字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
基础信息	实体仓编码	文本	生成方式待确认	实体仓业务标识；生成、唯一范围及修改规则待确认。
基础信息	实体仓名称	文本	手工录入	实际仓储节点名称，如深圳仓、东莞电商仓；具体FBA或海外仓按实际节点识别。
基础信息	运营类型	枚举	人工选择	自营、第三方；深圳仓自营，东莞电商仓、FBA及第三方海外仓为第三方。
基础信息	备注	多行文本	手工录入	建议字段；补充仓库说明。
地址与联系	仓库地址	文本	手工录入	实体仓实际地址；逻辑仓共用，不重复维护；初稿先不拆行政区字段。
地址与联系	联系人	文本	手工录入	仅一条联系人，不设多联系人明细或默认项。
地址与联系	联系电话	文本	手工录入	实体仓联系人的电话，保留区号等内容。
对接信息	对接方式	枚举	人工配置	ERP直连、SaaS中转；根据仓库实际业务链路确定。
对接信息	对接系统	关联选择	系统集成配置	引用仓库作业系统、聚水潭或领星等实际对接系统；不将不同系统接口能力视为相同。
对接信息	第三方仓库编码	文本	外部系统提供后维护	对应所选对接系统中的仓库编码；适用性及映射粒度待接口确认。
对接信息	第三方仓库货主	文本	外部系统提供后维护	仓库或中转系统识别我方货主的标识；具体编码口径待接口确认。
对接信息	对接授权配置	关联选择	系统集成配置	关联实际对接所需授权配置，不在初稿展开密钥等具体参数；授权方式及其他参数按接口确定。
审核与使用	审核状态	枚举	流程更新	草稿、待审核、审核通过、已驳回；沿用已讨论的提交审核流程，审核责任人及重审细节待确认。
审核与使用	使用状态	枚举	人工维护	启用／禁用；禁用仅阻止新增逻辑仓引用，不级联改变已有逻辑仓状态，不阻断其业务或回传处理。
审核与使用	审核人	用户引用	系统记录	建议字段；最近一次审核操作人员。
审核与使用	审核时间	日期时间	系统记录	建议字段；最近一次审核操作时间。
维护信息	创建人	用户引用	系统记录	建档人员。
维护信息	创建时间	日期时间	系统记录	建档时间。
维护信息	更新人	用户引用	系统记录	最近修改人员。
维护信息	更新时间	日期时间	系统记录	最近修改时间。
