字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
通用信息	处理状态	枚举	系统记录	待处理、已处理；失败产生时为待处理，重试成功、原单取消或修复后原记录处理成功时自动置为已处理；默认筛选待处理。
通用信息	失败时间	日期时间	系统记录	异常发生的时间，精确到秒；推送类为最近一次推送失败时间，结果处理类为处理失败时间；默认排序按此列降序。
通用信息	失败原因	多行文本	系统记录	失败原因；修复后按处理结果更新或保留。
推送财务ERP	结果单类型	枚举	系统记录	推送失败的结果单类型：采购入库单、采退出库单、销售出库单、销退入库单、其他入库单、其他出库单、直接调拨单。
推送财务ERP	结果单号	文本	系统记录	推送失败的结果单单号；可点击进入对应模块的结果单详情；「去重推」按此跳转业财结果单据。
推送外部仓库	单据类型	枚举	系统记录	推送仓库或回写平台失败的单据类型：采购收货通知单、采退发货通知单、销售发货通知单、销退收货通知单、调出通知单、调入通知单、其他入库申请单、其他出库申请单、独立站订单。
推送外部仓库	单据编号	文本	系统记录	推送仓库或回写平台失败的单据编号；可点击进入原单详情。
推送外部仓库	目标系统	枚举	系统记录	推送的目标系统；推送外部仓库页签取自营仓作业系统、聚水潭、领星、第三方仓／WMS；主数据分发页签取第三方仓／WMS、金蝶云·星空、聚水潭、领星；实际系统名称待接口设计核验。
推送电商平台	推送内容	枚举	系统记录	回写电商平台的内容类型：发货结果与运单、取消结果；范围随接口设计。
主数据分发	商品编码	文本	商品资料	分发失败的商品编码；可点击进入商品资料详情。
主数据分发	商品名称	文本	商品资料	分发失败的商品名称。
结果处理	来源系统	枚举	系统记录	回传结果的来源系统：领星、聚水潭、Shopify、自营仓作业系统、第三方仓／WMS。
结果处理	来源单号	文本	系统记录	外部来源单号；按「来源系统＋来源单号」识别；无ERP可跳转对象时不提供跳转。
结果处理	异常环节	枚举	系统记录	结果处理失败的环节：商品匹配、归属识别、库存校验、其他处理。
处理记录	处理时间	日期时间	系统记录	本次处理发生的时间，精确到秒。
处理记录	处理方式	枚举	系统记录	系统自动重试、人工重试、重推、修复恢复。
处理记录	处理结果	枚举	系统记录	成功、失败。
处理记录	操作人	用户引用	系统记录	执行本次处理的账号；系统自动触发时显示「系统」。
处理记录	说明	多行文本	手工录入	处理说明；人工处理时记录原因。
