字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
单据信息	单号	文本	系统生成	入库单唯一标识；按统一编码规范自动生成，前缀QTRK；生成时分配。
单据信息	来源类型	枚举	系统记录	区分申请执行回传与仓库主动回传；用于列表筛选与追溯。
单据信息	来源其他入库申请单	关联选择	其他入库申请单	有来源时关联一张待收货或取消中的申请单；仓库主动回传时留空。
单据信息	来源系统	文本	系统记录	仓库主动回传时的来源系统标识；申请执行回传时留空。
单据信息	来源单号	文本	系统记录	仓库主动回传时的来源单号；申请执行回传时留空。
单据信息	入库仓库	关联选择	逻辑仓资料	本次入库的逻辑仓；沿用来源申请单或按确认映射识别。
单据信息	业务类型	枚举	系统回写	本次入库原因；沿用来源申请单或按回传类型记录；枚举（2026-09-23已定）：盘盈、样品回收、借出归还、退料、赠品入库。
单据信息	实际入库时间	日期时间	系统记录	仓库最终回传实际入库结果的时间。
单据信息	业务日期	日期	系统记录	推送金蝶时使用的业务日期；取实际入库时间的日期部分。
单据信息	备注	多行文本	人工录入	自动回传时一般为空，人工确认实际结果时可以补充。
状态与推送	审核状态	枚举	流程更新	草稿、待审核、已审核；回传校验通过后自动审核，人工确认实际结果时走提交审核。
状态与推送	金蝶推送状态	枚举	系统记录	未推送、推送中、推送成功、推送失败；失败在系统集成中心重推原单。
状态与推送	推送金蝶时间	日期时间	系统记录	最近一次推送金蝶的时间；未推送时留空。
状态与推送	推送失败原因	多行文本	系统记录	金蝶推送失败时记录；未失败时留空。
审核信息	审核人	用户引用	系统记录	人工审核时记录审核人；自动审核时留空。
审核信息	审核时间	日期时间	系统记录	自动审核或人工审核通过的时间。
商品明细	行号	数值	系统记录	明细行顺序号，从1开始的整数。
商品明细	来源申请行	关联明细	其他入库申请单	有来源时关联来源申请明细，数量按来源行回写；无来源留空。
商品明细	商品	关联选择	商品资料	本行商品；沿用来源申请行或按回传映射识别。
商品明细	商品编码	文本	商品资料	随商品带出，明细单独成列展示。
商品明细	商品名称	文本	商品资料	随商品带出，明细单独成列展示。
商品明细	基本单位	关联选择	商品资料	随商品带出；数量按商品基本单位。
商品明细	实际入库数量	数值	系统记录	仓库实际入库的数量；不超过申请数量；审核后增加对应逻辑仓即时库存。
系统信息	创建人	用户引用	系统记录	自动生成时显示「系统」；人工确认时为建单人员。
系统信息	创建时间	日期时间	系统记录	建单时间。
系统信息	最后更新人	用户引用	系统记录	自动生成时显示「系统」；人工确认时为最近修改人员。
系统信息	最后更新时间	日期时间	系统记录	最近修改时间。
