字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
单据信息	单号	文本	系统生成	出库单唯一标识；按统一编码规范自动生成，前缀 XSCK。
单据信息	来源类型	枚举	系统记录	B2B发货通知、独立站订单、外部ToC；区分生成路径与列表筛选。
单据信息	来源销售发货通知单	关联选择	销售发货通知单	B2B路径必填；一张通知最多一张有效出库单；零出不生成。
单据信息	来源销售订单	关联选择	销售订单	B2B经通知追溯；独立站直接关联独立站订单。
单据信息	外部原始订单	关联选择	外部原始订单	外部ToC路径关联来源平台订单，用于追溯。
单据信息	客户	关联选择	客户资料	来源原单携带的客户，用于追溯和金蝶推送。
单据信息	币别	关联选择	销售订单	B2B/独立站沿用原单币别；外部ToC沿用来源结果金额币别。
单据信息	价税合计	金额	系统计算	按商品明细价税合计汇总。
单据信息	税额	金额	系统计算	按商品明细税额汇总。
单据信息	金额	金额	系统计算	按商品明细金额（不含税金额）汇总。
单据信息	出库仓库	关联选择	仓库资料	沿用原单指定的逻辑仓，库存按逻辑仓扣减。
单据信息	业务日期	日期	系统记录	推送金蝶时使用的业务日期；取实际出库时间的日期部分。
单据信息	实际出库时间	日期时间	系统记录	仓库最终回传实际出库结果的时间，或虚拟出库创建成功时间。
单据信息	审核状态	枚举	流程更新	草稿、待审核、已审核；回传或虚拟出库校验通过后自动审核。
单据信息	金蝶推送状态	枚举	系统记录	未推送、推送中、推送成功、推送失败；失败在系统集成中心重推原单。
单据信息	推送时间	日期时间	系统记录	最近一次推送金蝶的时间。
单据信息	推送失败原因	多行文本	系统记录	金蝶推送失败时记录。
单据信息	备注	多行文本	手工录入	自动回传时一般为空，人工确认实际结果时可补充。
商品明细	行号	数值	系统记录	明细行顺序号。
商品明细	来源发货通知行	关联明细	销售发货通知单	B2B路径关联来源通知明细，数量按来源行回写。
商品明细	商品	关联选择	商品资料	沿用来源行的商品。
商品明细	商品编码	文本	商品资料	沿用来源行；明细表单独成列展示。
商品明细	商品条码	多行文本	商品资料	沿用来源行实时带出。
商品明细	商品名称	文本	商品资料	沿用来源行；明细表单独成列展示。
商品明细	基本单位	关联选择	商品资料	沿用来源行，作为数量的计量口径。
商品明细	实际出库数量	数值	系统记录	仓库实际出库数量；不超过通知数量；扣减即时库存并消耗对应预占。
商品明细	含税单价	金额	系统记录	B2B/独立站沿用来源订单交易价格；外部ToC沿用来源结果金额。
商品明细	税率	数值	系统记录	来源订单或来源结果的交易税率。
商品明细	不含税单价	金额	系统记录	按含税单价和税率计算。
商品明细	价税合计	金额	系统计算	实际出库数量×含税单价。
商品明细	税额	金额	系统计算	价税合计−金额。
商品明细	金额	金额	系统计算	实际出库数量×不含税单价。
维护信息	审核人	用户引用	系统记录	人工审核时记录；自动审核时留空。
维护信息	审核时间	日期时间	系统记录	自动审核或人工审核通过的时间。
维护信息	创建人	用户引用	系统记录	建单人员。
维护信息	创建时间	日期时间	系统记录	建单时间。
维护信息	最后更新人	用户引用	系统记录	最近修改人员。
维护信息	最后更新时间	日期时间	系统记录	最近修改时间。
