字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
单据信息	单号	文本	系统生成	是	只读	只读	是	是	是	销售订单唯一标识；按统一编码规范自动生成，B2B销售订单前缀为XSDD。	按《6.强盛ERP的编码规则和通用字段规则》第一节生成	保存草稿时分配；用户不可编辑
单据信息	客户	关联选择	客户资料	是	是	是	是	是	是	只能选择审核通过且启用的客户；一张订单对应一个客户；名称按单据快照展示，不随主数据变更实时读取。	审核通过且启用的客户	选项与展示均按Code-Name；变更后原匹配价格不再沿用，见PRI-FR05
单据信息	客户名称快照	文本	客户资料（保存销售订单时）	是	否	否	否	否	否	销售订单首次保存时按客户编码取名并固化；后续发货通知和销售出库结果继承来源单据快照。	保存/生成时从来源资料或来源单据固化名称；历史单据不实时读取主数据。	与对应编码组合展示，不单独展示或筛选。
单据信息	币别	关联选择	辅助资料／币别	是	是	是	是	否	是	本单交易币别；选客户后默认带出客户默认币别，无默认时手选。	辅助资料维护的币别	改客户或改币别清空原价格并重取；不做跨币别换算
单据信息	价税合计	金额	系统计算	是	只读	只读	是	否	是	按商品明细价税合计汇总，指含税总额。	按商品明细价税合计汇总	单价4位、金额2位；尾差进税额
单据信息	税额	金额	系统计算	是	只读	只读	是	否	是	按商品明细税额汇总。	按商品明细税额汇总	2位小数；尾差进税额
单据信息	金额	金额	系统计算	是	只读	只读	是	否	是	按商品明细金额汇总，指不含税金额合计。	按商品明细金额汇总	2位小数
单据信息	审核状态	枚举	流程更新	是	否	只读	是	是	是	草稿、待审核、已审核；撤回后回到草稿。	草稿／待审核／已审核	详情页页头以状态标签展示
单据信息	业务状态	枚举	人工维护或系统更新	是	否	只读	是	是	是	正常、已取消、已关闭；取消和关闭不可撤销。	正常／已取消／已关闭	详情页页头以状态标签展示；不能反关单
单据信息	发货状态	枚举	系统计算	是	否	只读	是	是	是	未发货、部分发货、全部发货；按累计实际出库数量自动计算，全部发货后立即自动关闭订单。	未发货／部分发货／全部发货	详情页页头以状态标签展示
单据信息	备注	多行文本	手工录入	否	是	是	是	否	是	补充说明。	自由文本	列表默认展示；过长时省略显示
发货与交期	发货仓库	关联选择	仓库资料	是	是	是	是	是	是	一张订单只有一个发货仓库，实际选择逻辑仓；不同逻辑仓或交期要拆单，出库按所选逻辑仓记账；名称按单据快照展示，不随主数据变更实时读取。	审核通过且启用的逻辑仓	选项与展示均按Code-Name；一张订单只有一个仓库
发货与交期	仓库名称快照	文本	逻辑仓资料（保存销售订单时）	是	否	否	否	否	否	销售订单首次保存时按逻辑仓编码取名并固化；后续发货通知和销售出库结果继承来源单据快照。	保存/生成时从来源资料或来源单据固化名称；历史单据不实时读取主数据。	与对应编码组合展示，不单独展示或筛选。
发货与交期	交期	日期	手工录入	是	是	是	是	是	是	客户约定的交付日期；已审核后仅允许调整该字段。	YYYY-MM-DD	关闭到期规则见《销售订单主PRD》R12
发货与交期	发货方式	枚举	人工选择	是	是	是	否	否	是	本单成交约定的交付方式；下推发货通知单默认继承，分批发货时通知单可覆盖。	物流配送／自提；默认物流配送	自提不选发货地址与物流服务产品；已审核后不可改
