字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
基础信息	逻辑仓编码	文本	系统生成或手工录入	是	是	只读	是	是	是	逻辑仓独立业务标识；生成、唯一范围及修改规则见《6.强盛ERP的编码规则和通用字段规则》。	LWH+6位序号；保存时校验唯一	编码规则见《6.强盛ERP的编码规则和通用字段规则》第二节；一经保存不可改
基础信息	逻辑仓名称	文本	手工录入	是	是	是	是	是	是	人工自定义，如B2B正常品仓、电商残次品仓；示例不构成业务类型限制。	非空文本	同一实体仓下可以重复选择库存状态，名称区分
基础信息	所属实体仓	关联选择	实体仓档案	是	只读	只读	是	否	是	每个逻辑仓关联一个实体仓；新增时只能引用审核通过且启用的实体仓。父仓后续禁用不影响已有逻辑仓及业务。	审核通过且启用的实体仓	由实体仓详情的入口带入，不修改归属
基础信息	库存状态	枚举	人工选择	是	是	是	是	是	是	正常品、残次品、待检品；相同实体仓下可创建多个相同库存状态的逻辑仓，不按组合限制数量。	正常品、残次品、待检品	无
基础信息	备注	多行文本	手工录入	否	是	是	否	否	是	建议字段；说明人工划分用途，不另设强制业务类型字段。	多行文本	非必填
审核与使用	审核状态	枚举	流程更新	不适用（系统赋值）	否	只读	是	是	是	草稿、待审核、审核通过、已驳回；沿用已讨论的提交审核流程，一期不指定岗位，有审核权限即可。	草稿、待审核、审核通过、已驳回	弹窗内页签或状态区展示；有权限即可审核（主PRD Q02）
审核与使用	使用状态	枚举	人工维护	不适用（系统赋值）	只读	只读	是	是	是	启用／禁用；业务资格由逻辑仓自身审核通过且启用决定，不因父实体仓禁用受限。可以禁用：新单不能选，已有业务继续，有库存或未完成单据不阻断。	启用、禁用；新建与导入默认启用，仍须审核通过才能被引用	可禁用，新单不能选，已有业务继续（主PRD Q04）
审核与使用	审核人	用户引用	系统记录	不适用（系统赋值）	否	否	否	否	是	建议字段；最近一次审核操作人员。	系统记录	新增和编辑页不展示；未审核时留空
审核与使用	审核时间	日期时间	系统记录	不适用（系统赋值）	否	否	否	否	是	建议字段；最近一次审核操作时间。	系统记录	新增和编辑页不展示；未审核时留空
维护信息	创建人	用户引用	系统记录	不适用（系统赋值）	否	否	否	否	是	建档人员。	系统记录	新增和编辑页不展示
维护信息	创建时间	日期时间	系统记录	不适用（系统赋值）	否	否	否	否	是	建档时间。	系统记录	新增和编辑页不展示
维护信息	最后更新人	用户引用	系统记录	不适用（系统赋值）	否	否	否	否	是	最近修改人员。	系统记录	新增和编辑页不展示
维护信息	最后更新时间	日期时间	系统记录	不适用（系统赋值）	否	否	是	否	是	最近修改时间。	系统记录	列表默认按此列倒序
