字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
单据信息	单号	文本	系统生成	申请单唯一标识；按统一编码规范自动生成，前缀QTCKSQ；保存草稿时分配。
单据信息	出库仓	关联选择	逻辑仓资料	本次出库的逻辑仓；一张申请单一个；可为虚拟在途仓；虚拟在途仓选择盘亏时按该仓库存直接记账，其他类型按普通流程。
单据信息	业务类型	枚举	人工录入	本次出库原因；枚举（2026-09-23已定）：盘亏、样品领用、赠送、报废、借出。
单据信息	备注	多行文本	人工录入	补充说明。
状态与推送	单据状态	枚举	流程更新	草稿、待审核、已审核、推送失败、待发货、取消中、已取消、已发货；一个字段贯穿审核、推送与执行。
状态与推送	最近推送时间	日期时间	系统记录	最近一次推送仓库的时间；未推送时留空。
状态与推送	推送失败原因	多行文本	系统记录	推送仓库失败时记录；未失败时留空。
终止信息	取消原因	多行文本	人工录入	取消时录入的原因；必填性待确认（Q04）。
终止信息	取消操作人	用户引用	系统记录	执行取消的用户；未取消时留空。
终止信息	取消时间	日期时间	系统记录	取消生效时间；未取消时留空。
审核信息	审核人	用户引用	系统记录	审核通过的操作人；未审核时留空。
审核信息	审核时间	日期时间	系统记录	审核通过时间；未审核时留空。
审核信息	撤回意见	多行文本	人工录入	待审核撤回时填写；回到草稿后保留。
商品明细	行号	数值	系统记录	明细行顺序号，从1开始的整数。
商品明细	商品	关联选择	商品资料	本行商品；启用成品SKU；明细展示商品名称。
商品明细	商品编码	文本	商品资料	随商品带出，明细单独成列展示。
商品明细	商品名称	文本	商品资料	随商品带出，明细单独成列展示。
商品明细	基本单位	关联选择	商品资料	随商品带出；数量按商品基本单位，一期不做单位换算。
商品明细	申请出库数量	数值	人工录入	本行申请出库的数量；正整数，一期不允许小数。
商品明细	实出数量	数值	系统回写	仓库实际出库数量；由已审核其他出库单按来源行回写；最终结果未确认前留空；零出按取消处理，实出显示0、未出＝申请数量。
商品明细	未出数量	数值	系统计算	未出数量＝申请出库数量−实出数量；结果未确认前按尚未执行的计划数量展示；零出按取消处理时未出＝申请数量。
系统信息	创建人	用户引用	系统记录	建单人员。
系统信息	创建时间	日期时间	系统记录	建单时间。
系统信息	最后更新人	用户引用	系统记录	最近修改人员。
系统信息	最后更新时间	日期时间	系统记录	最近修改时间。
