字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
单据信息	单号	文本	系统生成	通知单唯一标识；按统一编码规范自动生成，前缀 XSFHTZ。
单据信息	来源销售订单	关联选择	销售订单	创建时必须来自已审核、正常且有可下推数量的销售订单；一张订单可生成多张通知单。
单据信息	客户	关联选择	销售订单	沿用来源销售订单的客户。
单据信息	发货仓库	关联选择	仓库资料	沿用来源销售订单的发货仓库（逻辑仓）。
单据信息	发货处理方式	枚举	人工选择	仓库发货：创建后自动推送仓库。虚拟出库：不推仓库，创建后按通知数量直接生成销售出库单，通知变为已发货。
单据信息	单据状态	枚举	流程更新	待推送、推送中、推送失败、待发货、取消中、已发货、已取消。
单据信息	推送时间	日期时间	系统记录	最近一次推送仓库的时间；未推送时留空。
单据信息	最终发货确认时间	日期时间	系统记录	仓库最终回传发货结果的时间，或虚拟出库创建成功的时间。
单据信息	推送失败原因	多行文本	系统记录	推送明确失败时记录；重试成功后仍保留历史。
单据信息	备注	多行文本	手工录入	补充说明。
发货与物流	发货方式	枚举	销售订单继承或人工选择	物流配送或自提；默认继承来源销售订单；分批发货时可覆盖。
发货与物流	发货地址	关联选择	客户资料	从来源客户地址明细选择；默认继承订单约定地址，分批发货时可改选；物流配送时必填，自提时不填。
发货与物流	物流服务产品	关联选择	物流资料	物流配送时选择启用的物流服务产品，或选「由仓库指定」；默认继承订单；自提时不选。
发货与物流	运单号	文本	系统回写	仓库或渠道方回传的实际运单号；未回传时留空。
商品明细	行号	数值	系统记录	明细行顺序号。
商品明细	来源订单行	关联明细	销售订单	关联来源销售订单明细，数量按来源行累计。
商品明细	商品	关联选择	商品资料	沿用来源销售订单行的商品。
商品明细	商品编码	文本	商品资料	沿用来源订单行；明细表单独成列展示。
商品明细	商品条码	多行文本	商品资料	沿用来源订单行实时带出。
商品明细	商品名称	文本	商品资料	沿用来源订单行；明细表单独成列展示。
商品明细	基本单位	关联选择	商品资料	沿用来源订单行，作为数量的计量口径。
商品明细	通知数量	数值	手工录入	本次通知的发货数量；创建即占用订单可下推额度；创建后不可改。
商品明细	实出数量	数值	系统回写	仓库最终回传的实际出库数量，或虚拟出库时按通知数量写入；不超过通知数量。
商品明细	缺出数量	数值	系统计算	通知数量减实出数量；不回原通知补发，需要补发时另建通知单。
终止信息	取消原因	文本	手工录入	通知取消时填写。
终止信息	取消时间	日期时间	系统记录	取消成功的时间。
终止信息	取消操作人	用户引用	系统记录	执行取消操作的人员。
操作信息	创建人	用户引用	系统记录	建单人员。
操作信息	创建时间	日期时间	系统记录	建单时间；通知单没有单据日期，列表按创建时间筛选。
操作信息	最后更新人	用户引用	系统记录	最近修改人员。
操作信息	最后更新时间	日期时间	系统记录	最近修改时间。
