字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
结果单信息	结果单类型	枚举	系统记录	七类结果单的类型标识：采购入库单、采退出库单、销售出库单、销退入库单、其他入库单、其他出库单、直接调拨单；仅已审核结果单进入本页。
结果单信息	结果单号	文本	系统记录	结果单唯一标识；可点击进入对应模块的结果单详情（只读）；结果单不存在或不可访问时提示并停留列表。
结果单信息	业务日期	日期	系统记录	推送财务ERP时使用的业务日期；沿用各结果单的业务日期；默认排序按此列降序。
结果单信息	仓库	文本	结果单携带	结果单的出入库仓库；入库类取入库仓库（销退入库单为收货仓库），出库类取出库仓库，直接调拨单取来源逻辑仓与目标逻辑仓。
结果单信息	推送财务ERP状态	枚举	系统记录	未推送、推送中、推送成功、推送失败；推送明确失败后自动重试最多3次；未推送、推送中不提供重推。
结果单信息	最近推送时间	日期时间	系统记录	最近一次推送财务ERP的时间，精确到秒；未推送时留空。
结果单信息	失败原因	多行文本	系统记录	最近一次推送失败的原因；未失败时留空。
推送记录	推送序号	数值	系统记录	同一结果单第几次推送，从1开始。
推送记录	推送时间	日期时间	系统记录	本次推送发生的时间，精确到秒。
推送记录	推送结果	枚举	系统记录	本次推送的结果：成功、失败。
推送记录	推送失败原因	多行文本	系统记录	本次推送失败的原因；成功时留空。
推送记录	触发方式	枚举	系统记录	系统自动、自动重试、人工重推、异常运维重推。
推送记录	操作人	用户引用	系统记录	触发本次推送的账号；系统自动触发时显示「系统」。
推送记录	处理说明	多行文本	手工录入	人工重推或异常运维重推时填写的原因说明。
