字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
单据信息	单号	文本	系统生成	通知单唯一标识；按统一编码规范自动生成。
单据信息	来源采购退货单	关联选择	采购退货单	创建时必须来自已审核、正常且有可下推数量的退货单；一张退货单可以生成多张通知单。
单据信息	供应商	关联选择	采购退货单	沿用来源采购退货单的供应商。
单据信息	出库仓库	关联选择	仓库资料	沿用来源退货单的出库仓库。
单据信息	发货处理方式	枚举	人工选择	创建时选择：仓库发货、虚拟出库；默认仓库发货；保存后不可改。仓库发货创建后自动推送仓库；虚拟出库不推仓库，创建后按通知数量直接生成采退出库单，通知变为已发货。
单据信息	备注	多行文本	手工录入	补充说明。
状态信息	单据状态	枚举	流程更新	待推送、推送中、推送失败、待发货、取消中、已发货、已取消。仓库发货时创建后由系统自动推送仓库；虚拟出库创建成功即为已发货。
状态信息	推送时间	日期时间	系统记录	最近一次推送仓库的时间。
状态信息	最终发货确认时间	日期时间	系统记录	仓库最终回传发货结果的时间；还没确认时留空。
状态信息	推送失败原因	多行文本	系统记录	推送明确失败时记录；重试成功后仍保留历史。
状态信息	最近处理时间	日期时间	系统记录	最近一次推送或异常处理的时间。
终止信息	取消原因	文本	手工录入	通知取消时填写。
终止信息	取消时间	日期时间	系统记录	取消成功的时间；未取消时留空。
终止信息	取消操作人	用户引用	系统记录	执行取消操作的人员；未取消时留空。
商品明细	行号	数值	系统记录	明细行顺序号。
商品明细	来源退货单行	关联明细	采购退货单	关联来源退货单明细，数量按来源行累计。
商品明细	商品	关联选择	商品资料	沿用来源退货单行的商品。
商品明细	商品编码	文本	商品资料	沿用来源退货单行；明细表单独成列展示。
商品明细	商品条码	多行文本	商品资料	沿用来源退货单行实时带出；一行一个条码。
商品明细	商品名称	文本	商品资料	沿用来源退货单行；明细表单独成列展示。
商品明细	基本单位	关联选择	商品资料	随来源行带出；与商品名称一起在明细展示，作为数量的计量口径，不单独维护。
商品明细	通知数量	数值	手工录入	本次通知的退货出库数量；创建即占用退货单可下推额度。
商品明细	实出数量	数值	系统回写	仓库最终回传的实际出库数量，或虚拟出库时按通知数量写入；不超过通知数量。
商品明细	缺出数量	数值	系统计算	通知数量减实出数量；不回原通知补出，需要补出时另建通知单。
系统信息	创建人	用户引用	系统记录	建单人员。
系统信息	创建时间	日期时间	系统记录	建单时间。
系统信息	最后更新人	用户引用	系统记录	最近修改人员。
系统信息	最后更新时间	日期时间	系统记录	最近修改时间。
