字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
单据信息	单号	文本	系统生成	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	出库单唯一标识；按统一编码规范自动生成。	按《6.强盛ERP的编码规则和通用字段规则》第一节生成	常规由回传或虚拟出库自动生成；人工确认实际结果时同样自动编号；编码规则见《6.强盛ERP的编码规则和通用字段规则》第一节；前缀 XSCK
单据信息	来源类型	枚举	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	区分出库单的生成路径，用于列表筛选与追溯展示。	B2B发货通知／独立站订单／外部ToC	详情页展示；B2B路径须有关联通知
单据信息	来源销售发货通知单	关联选择	销售发货通知单	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	一张通知最多一张有效出库单；B2B路径必填；仓库回传或虚拟出库均可生成；零出不生成结果单。	对应的销售发货通知单	独立站、外部ToC路径留空，列表展示为「—」
单据信息	来源销售订单	关联选择	销售订单	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	B2B经通知追溯；独立站直接关联独立站订单。	对应的销售订单	外部ToC路径可留空，改由外部原始订单追溯
单据信息	外部原始订单	关联选择	外部原始订单	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	是	是	外部ToC路径关联来源平台订单，用于追溯；B2B与独立站路径留空。	外部平台原始订单	仅外部ToC路径展示与筛选
单据信息	客户	关联选择	客户资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	来源原单携带的客户，用于追溯和推送财务ERP；推送范围已确认：单据信息与明细价税字段逐单全部推送（2026-09-22）；名称按单据快照展示，不随主数据变更实时读取。	来源原单携带的客户	沿用来源携带，用户不可另选
单据信息	客户名称快照	文本	来源单据快照	是	否	否	否	否	否	生成销售出库结果时继承对应来源订单或结果中的客户名称快照；B2B继承通知单快照；不实时读取主数据。	保存/生成时从来源资料或来源单据固化名称；历史单据不实时读取主数据。	与对应编码组合展示，不单独展示或筛选。
单据信息	币别	关联选择	销售订单	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	来源原单或来源结果携带的交易币别；推送范围已确认：单据信息与明细价税字段逐单全部推送（2026-09-22）。	B2B/独立站沿用销售订单币别；外部ToC沿用来源结果币别	随来源携带，用户不可另选
单据信息	价税合计	金额	系统计算	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	按商品明细价税合计汇总。	按商品明细价税合计汇总	精度已确认：单价4位、金额税额2位、尾差进税额；全部价税字段逐单推送，接口侧按财务ERP单据需要裁剪（Q03）
单据信息	税额	金额	系统计算	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	按商品明细税额汇总。	按商品明细税额汇总	精度已确认：单价4位、金额税额2位、尾差进税额；全部价税字段逐单推送，接口侧按财务ERP单据需要裁剪（Q03）
单据信息	金额	金额	系统计算	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	按商品明细金额（不含税金额）汇总。	按商品明细金额汇总	指不含税金额合计；精度已确认：单价4位、金额税额2位、尾差进税额；全部价税字段逐单推送，接口侧按财务ERP单据需要裁剪（Q03）
单据信息	出库仓库	关联选择	仓库资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	沿用原单指定的逻辑仓，仓库主动回传也不重新分仓；库存按逻辑仓扣减；名称按单据快照展示，不随主数据变更实时读取。	原单指定的逻辑仓	归属依据不足时挂异常，不任意选仓
单据信息	仓库名称快照	文本	来源单据快照	是	否	否	否	否	否	生成销售出库结果时继承对应来源订单或结果中的逻辑仓名称快照；B2B继承通知单快照；不实时读取主数据。	保存/生成时从来源资料或来源单据固化名称；历史单据不实时读取主数据。	与对应编码组合展示，不单独展示或筛选。
单据信息	业务日期	日期	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	推送财务ERP时使用的业务日期；取实际出库时间的日期部分。	取实际出库时间的日期部分	已确认，见《销售出库单主PRD》Q02；列表默认按此倒序
单据信息	实际出库时间	日期时间	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	仓库最终回传实际出库结果的时间，或虚拟出库创建成功时间。	仓库最终回传或虚拟出库确认的时间	无
单据信息	审核状态	枚举	流程更新	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	草稿、待审核、已审核；仓库回传或虚拟出库校验通过后自动审核，人工确认实际结果时走提交审核。	草稿／待审核／已审核	详情页页头以状态标签展示；回传或虚拟出库创建即为已审核；不提供无来源人工建单页面；接口失败人工确认见主PRD R10
单据信息	推送财务ERP状态	枚举	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	未推送、推送中、推送成功、推送失败；失败在系统集成中心重推原单，不另建业务单。	未推送／推送中／推送成功／推送失败	详情页页头以状态标签展示；失败记录见 INT-FR03、INT-FR05；本模块列表/详情不提供重推按钮
单据信息	推送财务ERP时间	日期时间	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	最近一次推送财务ERP的时间。	最近一次推送财务ERP的时间	未推送时留空
单据信息	推送失败原因	多行文本	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	推送财务ERP失败时记录；修复后针对原单重试。	推送财务ERP失败时记录	未失败时留空
单据信息	备注	多行文本	手工录入	否	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	自动回传时一般为空，人工确认实际结果时可以补充。	自由文本	无
商品明细	行号	数值	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	明细行顺序号。	从 1 开始的整数	无
商品明细	来源发货通知行	关联明细	销售发货通知单	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	B2B路径关联来源通知明细，数量按来源行回写。	关联来源销售发货通知单明细	独立站、外部ToC路径按来源订单行或来源结果行回写
商品明细	商品	关联选择	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	否	是	是	沿用来源行的商品。	沿用来源行的成品 SKU	明细展示商品编码、条码、名称
商品明细	商品编码	文本	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	否	是	是	沿用来源行；明细表单独成列展示。	商品资料的商品编码	列表按编码模糊检索包含该商品的单据
商品明细	商品条码	多行文本	商品资料	否	不适用（本模块不提供）	不适用（本模块不提供）	否	是	是	沿用来源行实时带出。	商品资料的商品条码	列表按条码模糊检索；多条码任一条码命中即可（2026-09-22确认）
商品明细	商品名称	文本	来源单据商品名称快照	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	继承对应来源订单、通知单或结果行的商品名称快照；历史出库结果不随商品资料变更。明细表单独成列展示。	生成出库结果时从对应来源行继承商品名称快照	无
商品明细	基本单位	关联选择	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	沿用来源行，作为数量的计量口径，不单独维护。	商品资料的基本单位	无
商品明细	实际出库数量	数值	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	仓库实际出库的数量；不超过通知数量；实际出库扣减即时库存并消耗对应预占。	仓库实际出库的数量，不超过通知数量	零出不生成结果单；虚拟出库时等于通知数量
商品明细	含税单价	金额	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	来源订单或来源结果的交易价格，推送财务ERP时使用；推送范围已确认：单据信息与明细价税字段逐单全部推送（2026-09-22）。	B2B/独立站沿用销售订单交易价格；外部ToC沿用来源结果金额	无
商品明细	税率	数值	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	来源订单或来源结果的交易税率。	来源交易税率	无
商品明细	不含税单价	金额	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	按含税单价和税率计算；单价4位、金额2位，尾差进税额。	按含税单价和税率计算	精度见《6.强盛ERP的编码规则和通用字段规则》Q14
商品明细	价税合计	金额	系统计算	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	本行含税金额，按实际出库数量与含税单价计算。	实际出库数量 × 含税单价	精度已确认：单价4位、金额税额2位、尾差进税额；全部价税字段逐单推送，接口侧按财务ERP单据需要裁剪（Q03）
商品明细	税额	金额	系统计算	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	本行税额，按价税合计与金额计算。	价税合计 − 金额	精度已确认：单价4位、金额税额2位、尾差进税额；全部价税字段逐单推送，接口侧按财务ERP单据需要裁剪（Q03）
商品明细	金额	金额	系统计算	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	本行不含税金额，按实际出库数量与不含税单价计算。	实际出库数量 × 不含税单价	指不含税金额；精度已确认：单价4位、金额税额2位、尾差进税额；全部价税字段逐单推送，接口侧按财务ERP单据需要裁剪（Q03）
维护信息	审核人	用户引用	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	人工审核时记录审核人；自动审核时留空。	人工审核时记录审核人	新增和编辑页不展示；自动审核时留空
维护信息	审核时间	日期时间	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	自动审核或人工审核通过的时间。	自动审核或人工审核通过的时间	新增和编辑页不展示；未审核时留空
维护信息	创建人	用户引用	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	建单人员。	建单人员	新增和编辑页不展示；自动生成的结果单显示「系统」
维护信息	创建时间	日期时间	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	建单时间。	建单时间	新增和编辑页不展示
维护信息	最后更新人	用户引用	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	最近修改人员。	最近修改人员	新增和编辑页不展示；自动生成的结果单显示「系统」
维护信息	最后更新时间	日期时间	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	最近修改时间。	最近修改时间	新增和编辑页不展示
