字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
结果单信息	结果单类型	枚举	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	七类结果单的类型标识；每行一张结果单。	采购入库单、采退出库单、销售出库单、销退入库单、其他入库单、其他出库单、直接调拨单	枚举逐字来自本清单；仅已审核结果单进入本页（主PRD R02）；筛选可多选
结果单信息	结果单号	文本	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	结果单唯一标识；按各模块编码规则生成。	对应结果单的单号	可点击进入对应模块的结果单详情（只读）；结果单不存在或不可访问时提示并停留列表；筛选为模糊匹配
结果单信息	业务日期	日期	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	推送财务ERP时使用的业务日期；沿用各结果单的业务日期。	取各结果单的业务日期，格式 YYYY-MM-DD	默认排序按此列降序（主PRD R07）；筛选按日期范围
结果单信息	仓库	文本	结果单携带	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	结果单的出入库仓库；入库类取入库仓库（销退入库单为收货仓库），出库类取出库仓库，直接调拨单取来源逻辑仓与目标逻辑仓。	逻辑仓按 Code-Name 展示；直接调拨单展示「来源逻辑仓 → 目标逻辑仓」	沿用结果单携带，用户不可另选；筛选单选，选项为逻辑仓（含已禁用）；直接调拨单按来源或目标逻辑仓任一命中
结果单信息	推送财务ERP状态	枚举	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	跟踪已审核结果单传递给财务ERP的情况；推送明确失败后自动重试最多3次。	未推送、推送中、推送成功、推送失败	枚举逐字来自本清单；筛选可多选；未推送、推送中不提供重推（主PRD R03、R04）
结果单信息	最近推送时间	日期时间	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	最近一次推送财务ERP的时间，精确到秒。	系统记录，格式 YYYY-MM-DD HH:mm:ss；未推送时留空	筛选按日期范围；未推送时页面展示 `-`
结果单信息	失败原因	多行文本	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	最近一次推送失败的原因；修复后针对原单重试。	推送财务ERP失败时记录；未失败时留空	列表按省略展示，hover 看全文；未失败时页面展示 `-`
推送记录	推送序号	数值	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	否	否	否	同一结果单第几次推送，从1开始。	从 1 开始的整数	推送记录弹窗内展示，按推送时间倒序
推送记录	推送时间	日期时间	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	否	否	否	本次推送发生的时间，精确到秒。	系统记录，格式 YYYY-MM-DD HH:mm:ss	推送记录弹窗内展示
推送记录	推送结果	枚举	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	否	否	否	本次推送的结果。	成功、失败	枚举逐字来自本清单；推送记录弹窗内展示
推送记录	推送失败原因	多行文本	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	否	本次推送失败的原因；成功时留空；记录财务ERP返回内容（错误码、报文摘要等）。	财务ERP返回或系统记录的失败原因；财务ERP返回内容随接口设计扩展	推送记录弹窗内展示；与列表「失败原因」同源，取最近一次；记录财务ERP返回内容为2026-09-24确认
推送记录	触发方式	枚举	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	否	否	否	本次推送的触发来源。	系统自动、自动重试、人工重推、异常运维重推	枚举逐字来自本清单；推送记录弹窗内展示
推送记录	操作人	用户引用	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	否	否	否	触发本次推送的账号；系统自动触发时为「系统」。	系统自动时显示「系统」；人工触发时显示姓名	推送记录弹窗内展示
推送记录	处理说明	多行文本	手工录入	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	否	人工重推或异常运维重推时填写的原因说明。	自由文本，0~500字符；异常运维重推时必填，人工重推时可选填	推送记录弹窗内展示；系统自动触发时留空
