字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
单据信息	单号	文本	系统生成	是	只读	只读	是	是	是	采购订单唯一标识；按统一编码规范自动生成。	按《6.强盛ERP的编码规则和通用字段规则》第一节生成	编码规则见《6.强盛ERP的编码规则和通用字段规则》第一节；原型新增页只读
单据信息	单据日期	日期	手工录入	是	是	是	是	是	是	本单业务日期；默认值和可否修改待确认。	业务发生日期	默认值和可否修改待确认
单据信息	供应商	关联选择	供应商资料	是	是	是	是	是	是	只能选择审核通过且启用的成品供应商；不要求预先建立供货关系。	审核通过且启用的成品供应商	变更后原匹配价格不再沿用（PRI-FR05）
单据信息	币别	关联选择	辅助资料／币别	是	是	是	是	否	是	本单交易币别；选供应商后默认带出供应商默认币别，无默认则手选；按供应商、商品、币别取当前采购价。	辅助资料维护的币别（如人民币）	选供应商后默认带出供应商默认币别（PRI-FR04）；改供应商或改币别清空原价格并重取；不带出结算方式、付款条件；列表默认展示
单据信息	价税合计	金额	系统计算	是	只读	只读	是	否	是	按商品明细价税合计汇总。	按商品明细价税合计汇总	精度与尾差待确认（Q03）
单据信息	税额	金额	系统计算	是	只读	只读	是	否	是	按商品明细税额汇总。	按商品明细税额汇总	精度与尾差待确认（Q03）
单据信息	金额	金额	系统计算	是	只读	只读	是	否	是	按商品明细金额（不含税金额）汇总。	按商品明细金额汇总	指不含税金额合计；精度与尾差待确认（Q03）
单据信息	审核状态	枚举	流程更新	是	否	只读	是	是	是	草稿、待审核、已审核；撤回后回到草稿。	草稿／待审核／已审核	详情页页头以状态标签展示，与单据信息同属一区
单据信息	业务状态	枚举	人工维护或系统更新	是	否	只读	是	是	是	正常、已取消、已关闭；不能反关单，取消与关闭都不可撤销。	正常／已取消／已关闭	详情页页头以状态标签展示；关闭不可撤销、不能反关单；原型列表的「启用」操作与这条冲突，待改
单据信息	收货状态	枚举	系统计算	是	否	只读	是	是	是	未收货、部分收货、全部收货；按各行累计入库数量自动计算，全部收足也不会自动关闭订单。	未收货／部分收货／全部收货	详情页页头以状态标签展示；原型按「入库状态」展示，待对齐
单据信息	备注	多行文本	手工录入	否	是	是	是	否	是	补充说明。	自由文本	列表默认展示；过长时省略显示
收货与交期	收货仓库	关联选择	仓库资料	是	是	是	是	是	是	一张订单只有一个收货仓库，不同仓库或交期要拆单；具体指向实体仓还是逻辑仓待确认，入库需要按逻辑仓记账。	启用可用的仓库	一张订单只有一个仓库，交期或仓库不同要拆单
收货与交期	承诺交期	日期	手工录入	是	是	是	是	是	是	供应商承诺的交货日期；已审核后只能调整交期，数量和价格不变。	供应商承诺的交货日期	原型叫「预计交货日期」，名称待统一
单据信息	总采购数量	数值	系统计算	是	否	只读	是	否	是	各明细行采购数量之和；不同 SKU 的数量直接相加。	不小于 0；等于各明细行采购数量之和	列表默认展示
单据信息	总可下推数量	数值	系统计算	是	否	只读	是	否	是	各行可下推数量之和；仅已审核且业务状态为正常时汇总展示，否则为 0；不同 SKU 的数量直接相加。列表列名简称「可下推数量」。	不小于 0；等于各明细行可下推数量之和	关闭、取消、未审核等不可再下推时列表展示 0
单据信息	累计入库数量	数值	系统回写	是	否	只读	是	否	是	各明细行累计入库数量之和。	不小于 0；等于各明细行累计入库数量之和	列表默认展示；单头汇总，明细行另有同名字段
商品明细	行号	数值	系统记录	是	只读	只读	否	否	是	明细行顺序号。	从 1 开始的整数	
商品明细	商品	关联选择	商品资料	是	是	是	否	否	是	选择成品 SKU；选后带出商品编码、商品条码、商品名称和基本单位；不按该供应商是否已有价格过滤可选商品。	启用的成品 SKU	后台关联字段；页面以商品编码列为选品入口，不单独展示商品列
商品明细	商品编码	文本	商品资料	是	只读	只读	否	是	是	按所选商品实时带出；明细表单独成列展示；新增编辑页本列为选品入口。	商品资料的商品编码	列表按编码模糊检索包含该商品的订单
商品明细	商品条码	多行文本	商品资料	否	只读	只读	否	是	是	按所选商品实时带出；商品有多个条码时的展示规则待确认。	商品资料的商品条码，一行一条	列表按条码模糊检索包含该商品的订单；多条码命中规则待确认
商品明细	商品名称	文本	商品资料	是	只读	只读	否	否	是	按所选商品实时带出；明细表单独成列展示。	商品资料的商品名称
商品明细	基本单位	关联选择	商品资料	是	只读	只读	否	否	是	按所选商品实时带出，作为数量的计量口径，不单独维护。	商品资料的基本单位	按所选商品实时带出
商品明细	采购数量	数值	手工录入	是	是	是	否	否	是	以基本单位计量，必须大于 0；审核后固定，不因延期或调价改变。	大于 0 的数值，以基本单位计量	
商品明细	含税单价	金额	手工录入或价格带出	是	是	是	否	否	是	按供应商、商品、币别带出当前采购价；没有匹配价格可以手工填写；草稿可改，提交后锁定。	非空非负的金额；零价需确认后使用	
商品明细	税率	数值	手工录入或价格带出	是	是	是	否	否	是	按四维取价时随采购价目表带出；无法取得价格时可从商品默认信息带出或由用户填写；提交后锁定；取值和精度待确认。	百分比数值，取值和精度待确认	
商品明细	不含税单价	金额	系统计算	是	只读	只读	否	否	是	按含税单价和税率自动计算；精度、舍入和尾差处理待确认。	按含税单价和税率计算	
商品明细	价税合计	金额	系统计算	是	只读	只读	否	否	是	本行含税金额，按采购数量与含税单价计算。	采购数量 × 含税单价	精度与尾差待确认（Q03）
商品明细	税额	金额	系统计算	是	只读	只读	否	否	是	本行税额，按价税合计与金额计算。	价税合计 − 金额	精度与尾差待确认（Q03）
商品明细	金额	金额	系统计算	是	只读	只读	否	否	是	本行不含税金额，按采购数量与不含税单价计算。	采购数量 × 不含税单价	指不含税金额；精度与尾差待确认（Q03）
商品明细	累计入库数量	数值	系统回写	是	否	只读	是	否	是	由已审核采购入库单按来源行回写的累计实际入库数量。	不小于 0，累计不超过采购数量	新增时还没有值（新增页不展示）
商品明细	剩余入库数量	数值	系统计算	是	只读	只读	否	否	是	尚未入库的数量，按采购数量减累计入库数量计算。	采购数量 − 累计入库数量	新增时还没有值（新增页不展示）
商品明细	可下推数量	数值	系统计算	是	只读	只读	是	否	是	采购数量减已结束通知的实际收货数量，再减未结束通知的通知数量；不同 SKU 不互相抵用，订单关闭后不再安排。	不小于 0	关闭后保留数值，但不再具备新增通知的资格
商品明细	在途通知数量	数值	系统计算	是	只读	只读	否	否	是	未结束的采购收货通知单占用的数量；通知创建即计入，取消成功释放，收货完成后被实际入库数量替代。	不小于 0	新增时还没有值（新增页不展示）；详情页展示
终止信息	关闭方式	枚举	人工关闭或系统自动	条件必填	否	否	否	否	是	手动关闭、到期自动关闭；未关闭时留空。	手动关闭／到期自动关闭	详情页仅在已关闭时展示终止信息分组；未关闭时留空
终止信息	关闭原因	文本	手工录入或系统记录	条件必填	否	否	否	否	是	手工关闭时填写；到期自动关闭记录触发条件，具体口径待确认。	手工关闭时填写的原因；到期自动关闭记录触发条件	自动关闭记录的具体口径待确认；未关闭时留空
终止信息	关闭时间	日期时间	系统记录	条件必填	否	否	否	否	是	关闭操作发生的时间；未关闭时留空。	关闭操作发生的时间	未关闭时留空
终止信息	关闭操作人	文本	系统记录	条件必填	否	否	否	否	是	手工关闭记录操作人，到期自动关闭记录系统；未关闭时留空。	手工关闭记录操作人，到期自动关闭记录「系统」	未关闭时留空
终止信息	取消原因	文本	手工录入	条件必填	否	否	否	否	是	整单取消时填写。	整单取消时填写	详情页仅在已取消时展示取消相关字段；未取消时留空
终止信息	取消时间	日期时间	系统记录	条件必填	否	否	否	否	是	取消操作发生的时间；未取消时留空。	取消操作发生的时间	未取消时留空
终止信息	取消操作人	用户引用	系统记录	条件必填	否	否	否	否	是	执行取消操作的人员；未取消时留空。	执行取消操作的人员	未取消时留空
操作信息	审核人	用户引用	系统记录	条件必填	否	否	否	否	是	最近一次完成审核或撤回的人员。	最近一次完成审核或撤回的人员	新增和编辑页不展示；未审核时留空
操作信息	审核时间	日期时间	系统记录	条件必填	否	否	否	否	是	最近一次审核操作的时间。	最近一次审核操作的时间	新增和编辑页不展示；未审核时留空
操作信息	撤回意见	多行文本	人工录入	条件必填	否	否	否	否	是	撤回时填写并保留；撤回后回到草稿。	撤回时填写并保留	新增和编辑页不展示；未撤回时留空
操作信息	创建人	用户引用	系统记录	不适用（系统赋值）	否	否	否	否	是	建单人员。	建单人员	新增和编辑页不展示
操作信息	创建时间	日期时间	系统记录	不适用（系统赋值）	否	否	是	是	是	建单时间。	建单时间	新增和编辑页不展示；列表支持日期范围筛选
操作信息	最后更新人	用户引用	系统记录	不适用（系统赋值）	否	否	否	否	是	最近修改人员。	最近修改人员	新增和编辑页不展示
操作信息	最后更新时间	日期时间	系统记录	不适用（系统赋值）	否	否	是	否	是	最近修改时间。	最近修改时间	新增和编辑页不展示；列表默认按本字段倒序（Q04待确认）
