字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
通用信息	处理状态	枚举	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	异常记录的处理进展；失败产生时为待处理，重试成功、原单取消或修复后原记录处理成功时自动置为已处理。	待处理、已处理	枚举逐字来自本清单；筛选单选、默认待处理；记录全部保留、不清理（主PRD Q02已定）；不提供人工关闭（Q03已定）
通用信息	失败时间	日期时间	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	异常发生的时间，精确到秒；推送类为最近一次推送失败时间，结果处理类为处理失败时间。	系统记录，格式 YYYY-MM-DD HH:mm:ss	默认排序按此列降序；筛选按日期范围
通用信息	失败原因	多行文本	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	失败原因；修复后按处理结果更新或保留。	外部系统返回或系统记录的失败原因	列表按省略展示，hover 看全文
推送财务ERP	结果单类型	枚举	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	推送失败的结果单类型。	采购入库单、采退出库单、销售出库单、销退入库单、其他入库单、其他出库单、直接调拨单	仅推送财务ERP页签展示；筛选可多选；仅已审核结果单（主PRD R02）
推送财务ERP	结果单号	文本	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	推送失败的结果单单号。	对应结果单的单号	仅推送财务ERP页签展示；可点击进入对应模块的结果单详情；筛选模糊；「去重推」按此跳转业财结果单据
推送外部仓库	单据类型	枚举	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	推送仓库或回写平台失败的单据类型。	采购收货通知单、采退发货通知单、销售发货通知单、销退收货通知单、调出通知单、调入通知单、其他入库申请单、其他出库申请单、独立站订单	推送外部仓库、推送电商平台页签展示；筛选可多选
推送外部仓库	单据编号	文本	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	推送仓库或回写平台失败的单据编号。	对应单据的单号	推送外部仓库、推送电商平台页签展示；可点击进入原单详情；筛选模糊
推送外部仓库	目标系统	枚举	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	推送的目标系统。	推送外部仓库页签：自营仓作业系统、聚水潭、领星、第三方仓／WMS；主数据分发页签：第三方仓／WMS、金蝶云·星空、聚水潭、领星	按页签取值；筛选可多选；实际系统名称待接口设计核验
推送电商平台	推送内容	枚举	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	回写电商平台的内容类型。	发货结果与运单、取消结果	仅推送电商平台页签展示；筛选可多选；一期为发货结果与运单、取消结果（2026-09-24确认），退货回写等接口确认后再加
主数据分发	商品编码	文本	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	分发失败的商品编码。	商品资料的商品编码	仅主数据分发页签展示；可点击进入商品资料详情；筛选模糊
主数据分发	商品名称	文本	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	分发失败的商品名称。	商品资料的当前名称	仅主数据分发页签展示；筛选模糊
结果处理	来源系统	枚举	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	回传结果的来源系统。	领星、聚水潭、Shopify、自营仓作业系统、第三方仓／WMS	仅结果处理页签展示；筛选可多选
结果处理	来源单号	文本	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	外部来源单号；按「来源系统＋来源单号」识别。	外部来源单号，1~64字符	仅结果处理页签展示；筛选模糊；无ERP可跳转对象时不提供跳转
结果处理	异常环节	枚举	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	结果处理失败的环节。	商品匹配、归属识别、库存校验、其他处理	仅结果处理页签展示；筛选可多选
处理记录	处理时间	日期时间	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	否	否	否	本次处理发生的时间，精确到秒。	系统记录，格式 YYYY-MM-DD HH:mm:ss	处理记录弹窗内展示，按时间倒序
处理记录	处理方式	枚举	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	否	否	否	本次处理的方式。	系统自动重试、人工重试、重推、修复恢复	枚举逐字来自本清单；推送财务ERP页签与业财结果单据同源：自动重试记「系统自动重试」，人工重推与异常运维重推记「重推」，首次推送不记；处理记录弹窗内展示
处理记录	处理结果	枚举	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	否	否	否	本次处理的结果。	成功、失败	枚举逐字来自本清单；处理记录弹窗内展示
处理记录	操作人	用户引用	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	否	否	否	执行本次处理的账号；系统自动触发时显示「系统」。	系统自动时显示「系统」；人工处理时显示姓名	处理记录弹窗内展示
处理记录	说明	多行文本	手工录入	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	否	处理说明；人工处理时记录原因。	自由文本，0~500字符	处理记录弹窗内展示；系统自动触发时留空
