字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
基础信息	商品编码	文本	系统生成或手工录入	成品SKU的唯一标识，不另列内部ID；生成与修改规则见《6.强盛ERP的编码规则和通用字段规则》。
基础信息	商品名称	文本	手工录入	商品正式名称，供业务引用。
基础信息	商品简称	文本	手工录入	用于简短展示。
基础信息	助记码	文本	手工录入	非必填；以简短字母或习惯代码检索商品。
基础信息	商品分类	关联选择	辅助资料／商品分类	商品建档必须选满三级分类，最终引用启用的第三级，前两级按归属关系带出；上级禁用不级联，既有启用三级分类仍可被新商品引用。
基础信息	品牌	关联选择	辅助资料／品牌	统一维护品牌名称。
基础信息	产品型号	文本	手工录入	产品型号，不替代商品编码。
基础信息	规格描述	多行文本	手工录入	集中描述颜色、功率、容量、线长、接口、插头规格等，不另设独立字段。
基础信息	基本单位	关联选择	辅助资料／基本单位	商品数量的基本计量口径。
基础信息	商品条码	多行文本	手工录入	支持追加多个条码，每条单独记录；全系统唯一，重复不能保存；按文本保存。
基础信息	产地	关联选择	系统预置地区字典	仅记录原产国家／地区；一期按单个国家／地区单值记录，不扩展多产地。
基础信息	商品备注	多行文本	手工录入	补充商品说明。
经营与状态	商品销售等级	枚举	人工评定	表示销售表现；人工选择，系统不校验评价过程。
经营与状态	商品生命周期状态	枚举	人工维护	经营阶段。
经营与状态	使用状态	枚举	人工维护	启用／禁用；新业务只引用启用商品，历史业务保留原引用。
经营与状态	首次上市日期	日期	手工录入	首次开始销售日期。
经营与状态	停售日期	日期	手工录入	停止销售日期。
价格信息	初始供应商	关联选择	供应商资料	商品建档时选定的初始供应商，只表示初始采购价格归属，不建立供货关系，也不限制后续采购资格；填写初始含税采购价时必须选择。
价格信息	初始含税采购价	金额	手工录入	商品建档时维护的含税采购价，生成该供应商的采购价记录；为空时不生成对应价目，新单手填。之后变价走价格调整单。
价格信息	初始含税销售价	金额	手工录入	商品建档时维护的含税销售价，生成面向所有客户的销售基准价记录；为空时不生成对应价目，新单手填。之后变价走价格调整单。
价格信息	币别	关联选择	辅助资料／币别	上述初始价格使用的币别；任一初始价格有值时必须选择，两项价格均为空时可以不填；不设统一默认值。
开票信息	商品开票名称	文本	手工录入	非必填；开票使用的商品名称。
开票信息	商品开票规格型号	文本	手工录入	非必填；开票使用的规格型号。
开票信息	商品税收分类编码	文本	手工录入	非必填；开票使用的税收分类编码，按文本保存。
开票信息	默认销售税率	数值	手工录入	商品默认销售税率，销售取价和销售单据据此带出；允许为空，开单时再填。
重量与尺寸	商品净重	数值	手工录入	单件商品含销售包装的重量，不含运输外箱。
重量与尺寸	商品长度	数值	手工录入	单件商品含销售包装的长度。
重量与尺寸	商品宽度	数值	手工录入	单件商品含销售包装的宽度。
重量与尺寸	商品高度	数值	手工录入	单件商品含销售包装的高度。
重量与尺寸	外箱毛重	数值	手工录入	标准整箱商品连同运输外箱的重量。
重量与尺寸	外箱长度	数值	手工录入	标准运输外箱的长度。
重量与尺寸	外箱宽度	数值	手工录入	标准运输外箱的宽度。
重量与尺寸	外箱高度	数值	手工录入	标准运输外箱的高度。
包装与单位	外箱装箱数量	数值	手工录入	一标准外箱包含的基本单位商品数量。
包装与单位	辅助计量单位	关联明细	辅助资料／基本单位	按箱等辅助单位参考填写；一期不做换算。
包装与单位	单位换算数量	数值	手工录入	辅助单位对应的基本单位数量，与辅助单位逐条对应；一期不做换算。
库存预警	是否启用库存预警	布尔	人工配置	配置是否参与库存预警；新增默认关闭；预警执行规则由库存模块负责。
库存预警	最低库存数量	数值	人工配置	低库存阈值，以基本单位计量；低于此值触发预警。
库存预警	最高库存数量	数值	人工配置	超储阈值，以基本单位计量；是否触发超储预警待确认（主PRD Q15）。
库存预警	安全库存数量	数值	人工配置	库存缓冲数量，以基本单位计量；只展示、不触发预警。
管理属性	是否含电池	布尔	人工维护	是否含电池。
管理属性	是否批次管理	布尔	人工配置	一期只在商品上配置开关，新增默认关闭；入出库不采集。
管理属性	是否序列号管理	布尔	人工配置	一期只在商品上配置开关，新增默认关闭；入出库不采集。
管理属性	是否保质期管理	布尔	人工配置	配置是否管理商品有效期限；新增默认关闭；一期入出库不采集。
管理属性	保质期天数	数值	手工录入	保质期管理启用后使用，单位为天。
管理属性	临期预警天数	数值	人工配置	距到期多少天提醒。
商品图片	主视图	图片	上传	商品主视图图片。
商品图片	左视图	图片	上传	商品左视图图片。
商品图片	右视图	图片	上传	商品右视图图片。
商品图片	顶视图	图片	上传	商品顶视图图片。
商品图片	底视图	图片	上传	商品底视图图片。
商品图片	背视图	图片	上传	商品背视图图片。
商品图片	全景图	图片	上传	商品全景图图片。
维护信息	创建人	用户引用	系统记录	商品建档人员。
维护信息	创建时间	日期时间	系统记录	商品建档时间。
维护信息	最后更新人	用户引用	系统记录	最近修改人员。
维护信息	最后更新时间	日期时间	系统记录	最近修改时间。
