字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
单据信息	单号	文本	系统生成	采购价格调整单唯一标识；按统一编码规范自动生成。
单据信息	供应商	关联选择	供应商资料	本次调价对应的供应商；审核通过且启用；一张单一个供应商。
单据信息	币别	关联选择	辅助资料／币别	本次调价的币别；一张单一个币别，选供应商后默认带出供应商默认币别。
单据信息	明细条数	数值	系统计算	明细行数；列表展示用。
单据信息	审核状态	枚举	流程更新	草稿、待审核、已审核、已驳回；驳回后可修改并重新提交。
单据信息	备注	多行文本	手工录入	补充说明。
商品明细	行号	数值	系统记录	明细行顺序号。
商品明细	商品	关联选择	商品资料	选择启用的成品SKU；不按该供应商是否已有价格过滤可选商品。
商品明细	商品编码	文本	商品资料	按所选商品实时带出；明细表单独成列展示；新增编辑页为选品入口。
商品明细	商品条码	多行文本	商品资料	按所选商品实时带出；多条码逐条展示。
商品明细	商品名称	文本	商品资料	按所选商品实时带出。
商品明细	基本单位	关联选择	商品资料	按所选商品实时带出，作为计价口径。
商品明细	含税单价	金额	手工录入	本次调整后的含税单价；必须大于零；保留4位小数。
商品明细	税率	数值	手工录入或商品资料	本次调整后的税率；百分比最多2位小数，允许0%。
商品明细	不含税单价	金额	系统计算	按含税单价和税率计算，保留4位小数。
操作信息	审核人	用户引用	系统记录	最近一次完成审核或驳回的人员；未审核时为空。
操作信息	审核时间	日期时间	系统记录	最近一次审核操作的时间；未审核时为空。
操作信息	驳回意见	多行文本	人工录入	驳回时填写并保留；未驳回时为空。
操作信息	创建人	用户引用	系统记录	建单人员。
操作信息	创建时间	日期时间	系统记录	建单时间；列表默认按此列倒序。
操作信息	最后更新人	用户引用	系统记录	最近修改人员。
操作信息	最后更新时间	日期时间	系统记录	最近修改时间。
