字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
单据信息	单号	文本	系统生成	直接调拨单唯一标识；按统一编码规范自动生成，前缀ZJDB。
单据信息	来源类型	枚举	系统记录	本单来源：分步式调出端、分步式调入端、人工一步式、仓库主动回传。
单据信息	来源分步式调拨单	关联选择	分步式调拨单	分步式两端结果关联的来源主单；人工一步式与仓库主动回传为空。
单据信息	来源通知单	关联选择	调出通知单/调入通知单	分步式调出端取调出通知单、调入端取调入通知单；其他来源为空。
单据信息	来源系统	文本	系统记录	仓库主动回传时的来源系统标识；其他来源为空。
单据信息	来源单号	文本	系统记录	仓库主动回传时的来源单号；其他来源为空。
单据信息	来源逻辑仓	关联选择	逻辑仓资料	减少方的逻辑仓；调出端为调出仓、调入端为虚拟在途仓、人工一步式与仓库主动回传按实际填写。
单据信息	目标逻辑仓	关联选择	逻辑仓资料	增加方的逻辑仓；调入端为接收仓、调出端为虚拟在途仓；不能与来源逻辑仓相同。
单据信息	实际调拨时间	日期时间	系统记录	实际发生调整的时间；自动回传取回传确认时间。
单据信息	业务日期	日期	系统记录	推送财务ERP时使用的业务日期；取实际调拨时间的日期部分。
单据信息	备注	多行文本	人工录入	补充说明；自动回传时一般为空。
状态与推送	审核状态	枚举	流程更新	草稿、待审核、已审核；回传校验通过后自动审核，人工一步式走提交审核。
状态与推送	推送财务ERP状态	枚举	系统记录	未推送、推送中、推送成功、推送失败；失败在系统集成中心重推原单。
状态与推送	推送财务ERP时间	日期时间	系统记录	最近一次推送财务ERP的时间；未推送时留空。
状态与推送	推送失败原因	多行文本	系统记录	推送财务ERP失败时记录；修复后针对原单重试。
审核信息	审核人	用户引用	系统记录	人工审核时记录审核人；自动审核时留空。
审核信息	审核时间	日期时间	系统记录	自动审核或人工审核通过的时间。
审核信息	撤回意见	多行文本	人工录入	人工一步式待审核撤回时填写的原因；回到草稿后保留。
商品明细	行号	数值	系统记录	明细行顺序号。
商品明细	来源明细行	关联明细	调出通知单/调入通知单	分步式路径关联来源通知行；人工一步式与仓库主动回传为空。
商品明细	商品	关联选择	商品资料	本行商品；明细展示商品名称。
商品明细	商品编码	文本	商品资料	随商品带出，明细单独成列展示。
商品明细	商品名称	文本	商品资料	随商品带出，明细单独成列展示。
商品明细	基本单位	关联选择	商品资料	随商品带出，作为数量的计量口径。
商品明细	实际调拨数量	数值	系统回写	本行实际调拨的数量；来源逻辑仓减、目标逻辑仓加。
系统信息	创建人	用户引用	系统记录	建单人员；自动生成的结果单显示「系统」。
系统信息	创建时间	日期时间	系统记录	建单时间。
系统信息	最后更新人	用户引用	系统记录	最近修改人员；自动生成的结果单显示「系统」。
系统信息	最后更新时间	日期时间	系统记录	最近修改时间。
