字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
单据信息	单号	文本	系统生成	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	通知单唯一标识；按统一编码规范自动生成。	按《6.强盛ERP的编码规则和通用字段规则》第一节生成，前缀DRTZ	无草稿态，生成时分配；用户不可编辑
单据信息	来源分步式调拨单	关联选择	分步式调拨单	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	本单的来源主单；按实际调出量由系统自动生成。	已审核、业务状态正常的分步式调拨单	点击可跳转来源主单详情；不按原计划量提前下发（INV-FR03）
单据信息	来源调出端直接调拨单	关联选择	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	生成本通知单的来源调出端直接调拨单。	系统在生成时写入；一张通知单对应一张调出端直接调拨单	点击可跳转调出端直接调拨单详情；本单无新增、编辑入口
单据信息	接收仓	关联选择	逻辑仓资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	本次接收的逻辑仓；库存按逻辑仓记账。	沿用来源主单接收仓；不能为虚拟在途仓	在途仓不可被业务单据选为出入库仓（《库存与仓储业务设计》§4.2）
状态信息	单据状态	枚举	流程更新	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	一个字段串起推送与执行；控制可执行操作。	待推送、推送中、推送失败、待收货、取消中、已收货、已取消	状态owner为《单据与状态流转》§三；本期页面不提供取消入口（Q02）；零调入拒绝整次回传、不按零收取消
状态信息	推送时间	日期时间	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	最近一次推送接收仓的时间。	系统记录，格式YYYY-MM-DD HH:mm:ss	未推送时留空
状态信息	最终收货确认时间	日期时间	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	接收仓最终回传接收结果的时间。	系统记录，格式YYYY-MM-DD HH:mm:ss	未确认时留空
状态信息	推送失败原因	多行文本	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	推送接收仓明确失败时记录。	推送失败时记录	重试成功后仍保留历史；自动重试最多3次（R06）
商品明细	行号	数值	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	明细行顺序号。	从1开始的整数	无
商品明细	来源调拨单行	关联明细	分步式调拨单	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	关联来源主单明细；数量按来源行回写。	关联来源分步式调拨单明细	数量按来源行回写
商品明细	商品	关联选择	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	否	是	是	沿用来源主单行的商品。	沿用来源分步式调拨单行的成品SKU	明细展示商品名称；页面按商品编码检索
商品明细	商品编码	文本	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	否	是	是	随商品带出，明细单独成列展示。	商品资料的商品编码	列表按编码模糊检索
商品明细	商品名称	文本	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	随商品带出，明细单独成列展示。	商品资料的当前名称	无
商品明细	基本单位	关联选择	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	随商品带出，作为数量的计量口径。	商品资料的基本单位	一期不做单位换算
商品明细	通知调入数量	数值	系统生成	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	本次接收的指令数量。	整数；等于该行实际调出数量	创建后不可改；不按原计划量提前下发；一期数量不允许小数
商品明细	实际调入数量	数值	系统回写	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	接收仓回传的实际接收数量；在途按实收减少。	整数；大于0；不超过通知调入数量	最终结果未确认前留空，页面显示 `-`；回传0拒绝整次回传、通知单保持等待
商品明细	少收数量	数值	系统计算	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	少收数量＝通知调入数量−实际调入数量。	整数；不小于0；未回传时显示 `-`，收货完成后按「通知调入数量−实际调入数量」计算展示	差额留在途，不自动抹平；后续用其他出库从在途逻辑仓扣减
系统信息	创建人	用户引用	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	建单人员；系统自动生成时显示「系统」。	建单人员；自动生成时显示「系统」	系统自动生成（《6.强盛ERP的编码规则和通用字段规则》第三节）
系统信息	创建时间	日期时间	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	生成时间；列表默认按此列倒序。	系统记录，格式YYYY-MM-DD HH:mm:ss	通知单没有单据日期，页面用创建时间
系统信息	最后更新人	用户引用	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	最近修改人员；系统写入时显示「系统」。	最近修改人员	无
系统信息	最后更新时间	日期时间	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	最近修改时间。	系统记录，格式YYYY-MM-DD HH:mm:ss	无
