字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
单据信息	单号	文本	编码规则待确认	是	只读	只读	是	是	是	退货单唯一标识；生成规则待确认。	按编码规则自动生成（待确认）	编码统一规范见 COM-FR03，一期不预设格式
单据信息	单据日期	日期	手工录入	是	是	是	是	是	是	本单业务日期；默认值和可否修改待确认。	业务发生日期	默认值和可否修改待确认
单据信息	供应商	关联选择	供应商资料	是	是	是	是	是	是	一张退货单只对应一个供应商；只能选择审核通过且启用的供应商。	审核通过且启用的成品供应商	
单据信息	币别	关联选择	辅助资料／币别	是	是	是	是	否	是	本单交易币别。	辅助资料维护的币别（如人民币）	按退货单取价和锁定规则处理（PRI-FR07）
单据信息	金额合计	金额	系统计算	是	只读	只读	是	否	是	按商品明细金额汇总；是否另计不含税金额和税额、精度和尾差待确认。	按商品明细金额汇总	是否另计不含税金额和税额、精度与尾差待确认
单据信息	出库仓库	关联选择	仓库资料	是	是	是	是	是	是	一张退货单只有一个出库仓库；具体指向实体仓还是逻辑仓待确认，出库需要按逻辑仓记账。	启用可用的仓库	
单据信息	退货截止时间	日期时间	手工录入	是	是	是	是	是	是	到期未退部分按规则自动关闭；截止时间可否调整及宽限期待确认。	到期未退部分按规则自动关闭的时间	可否调整及宽限期待确认；宽限时间参数待产品设计确认
单据信息	来源采购入库单	关联选择	采购入库单	否	是	是	是	是	是	可选关联；关联时带出原入库商品、数量和价格，也可以无来源手工创建。	可选关联的原采购入库单	关联时带出原入库商品、数量和价格；可退上限和重复退货约束待确认
单据信息	备注	多行文本	手工录入	否	是	是	否	否	是	补充说明。	自由文本	
商品明细	行号	数值	系统记录	是	只读	只读	否	否	是	明细行顺序号。	从 1 开始的整数	
商品明细	商品	关联选择	商品资料	是	是	是	否	是	是	选择要退回的成品 SKU；有来源时由原入库明细带出。	要退回的成品 SKU	明细展示商品名称
商品明细	基本单位	关联选择	商品资料	是	只读	只读	否	否	是	按所选商品实时带出；与商品名称一起在明细展示，作为数量的计量口径，不单独维护。	商品资料的基本单位	按所选商品实时带出，与商品名称一起在明细展示
商品明细	来源入库单行	关联明细	采购入库单	否	只读	只读	否	否	是	有来源时关联原入库明细，带出数量和原入库价格；无来源时留空。	有来源时关联原入库明细	无来源时留空
商品明细	退货数量	数值	手工录入	是	是	是	否	否	是	以基本单位计量；审核后固定；可退上限和重复退货约束待确认。	大于 0，以基本单位计量	可退上限和重复退货约束待确认
商品明细	含税单价	金额	手工录入或来源带出	是	是	是	否	否	是	有来源时带出原入库含税价格；缺价或没有来源时可以手工填写，也可以查询当前采购价快速填入；草稿可改，提交后锁定。	非空非负的金额；零价需确认后使用	
商品明细	税率	数值	手工录入或来源带出	是	是	是	否	否	是	有来源时带出原入库税率；缺价或没有来源时手工填写，查询当前采购价时一并带入；提交后锁定；取值和精度待确认。	百分比数值，取值和精度待确认	查询当前采购价时一并带入税率
商品明细	不含税单价	金额	系统计算	是	只读	只读	否	否	是	按含税单价和税率自动计算；精度和尾差处理待确认。	按含税单价和税率计算	
商品明细	金额	金额	系统计算	是	只读	只读	否	否	是	本行含税金额，按数量与含税单价计算；是否另存不含税金额和税额待确认。	数量 × 含税单价（含税金额）	
商品明细	累计实出数量	数值	系统回写	是	否	只读	是	否	是	由已审核采退出库单按来源行回写的累计实际出库数量。	不小于 0，累计不超过退货数量	新增时还没有值（新增页不展示）
商品明细	通知占用数量	数值	系统计算	是	只读	只读	是	否	是	未结束的采退发货通知单占用的数量。	不小于 0	
商品明细	可下推数量	数值	系统计算	是	只读	只读	是	否	是	退货数量减已结束通知的实际出库数量，再减未结束通知的通知数量。	不小于 0	关闭后保留数值，但不再具备新增通知的资格
状态信息	审核状态	枚举	流程更新	是	否	只读	是	是	是	草稿、待审核、已审核；审核时占用可用库存，可用量不足不能审核。	草稿／待审核／已审核	
状态信息	业务状态	枚举	人工维护或系统更新	是	否	只读	是	是	是	正常、已取消、已关闭；关闭释放未下推预占，不能反关单，取消与关闭都不可撤销。	正常／已取消／已关闭	关闭释放未下推预占；取消要求无实出且没有阻挡通知；两者都不可撤销
终止信息	关闭方式	枚举	人工关闭或系统自动	条件必填	否	否	否	否	是	手动关闭、到期自动关闭；未关闭时留空。	手动关闭／到期自动关闭	未关闭时留空
