字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
单据信息	单号	文本	系统生成	入库单唯一标识；按统一编码规范自动生成，前缀 XTRK。
单据信息	来源类型	枚举	系统记录	销退收货通知、外部ToC；区分生成路径与列表筛选。
单据信息	来源销退收货通知单	关联选择	销退收货通知单	一张通知最多一张有效入库单；仓库回传或虚拟入库均可生成；零收不生成结果单。
单据信息	来源销售退货单	关联选择	销售退货单	通过来源通知追溯到原退货单；外部ToC路径留空。
单据信息	外部原始订单	关联选择	外部原始订单	外部ToC路径关联来源平台订单，用于按来源拆分接收与追溯。
单据信息	客户	关联选择	客户资料	来源原单携带的客户，用于追溯和金蝶推送。
单据信息	币别	关联选择	销售退货单	来源原单携带的交易币别。
单据信息	价税合计	金额	系统计算	按商品明细价税合计汇总。
单据信息	税额	金额	系统计算	按商品明细税额汇总。
单据信息	金额	金额	系统计算	按商品明细金额（不含税金额）汇总。
单据信息	收货仓库	关联选择	仓库资料	沿用原单指定的逻辑仓；外部ToC路径按来源与映射识别。
单据信息	业务日期	日期	系统记录	推送金蝶时使用的业务日期；取实际收货时间的日期部分。
单据信息	实际收货时间	日期时间	系统记录	仓库最终回传实际收货结果的时间，或虚拟入库创建成功时间；外部ToC路径取渠道回传的退货完成时间，渠道未提供时用ERP接收时间。
单据信息	备注	多行文本	手工录入	自动回传时一般为空，人工确认实际结果时可以补充。
单据信息	审核状态	枚举	流程更新	草稿、待审核、已审核；仓库回传或虚拟入库校验通过后自动审核，人工确认实际结果时走提交审核。
单据信息	金蝶推送状态	枚举	系统记录	未推送、推送中、推送成功、推送失败；失败在系统集成中心重推原单。
单据信息	推送金蝶时间	日期时间	系统记录	最近一次推送金蝶的时间。
单据信息	推送失败原因	多行文本	系统记录	金蝶推送失败时记录。
商品明细	行号	数值	系统记录	明细行顺序号。
商品明细	来源收货通知行	关联明细	销退收货通知单	经通知的路径关联来源通知明细，数量按来源行回写；外部ToC路径按来源结果行接收。
商品明细	商品	关联选择	商品资料	沿用来源行的商品。
商品明细	商品编码	文本	商品资料	沿用来源行；明细表单独成列展示。
商品明细	商品条码	多行文本	商品资料	沿用来源行实时带出。
商品明细	商品名称	文本	商品资料	沿用来源行；明细表单独成列展示。
商品明细	基本单位	关联选择	商品资料	随来源行带出，作为数量的计量口径，不单独维护。
商品明细	实际收货数量	数值	系统记录	仓库实际退回接收的数量；不超过通知数量；接收后增加指定逻辑仓库存。
商品明细	含税单价	金额	系统记录	来源退货单交易价格，推送金蝶时使用。
商品明细	税率	数值	系统记录	来源退货单交易税率。
商品明细	不含税单价	金额	系统记录	来源退货单按含税单价和税率计算的结果；单价4位、金额2位，尾差进税额。
商品明细	价税合计	金额	系统计算	本行含税金额，按实际收货数量与含税单价计算。
商品明细	税额	金额	系统计算	本行税额，按价税合计与金额计算。
商品明细	金额	金额	系统计算	本行不含税金额，按实际收货数量与不含税单价计算。
维护信息	审核人	用户引用	系统记录	人工审核时记录审核人；自动审核时留空。
维护信息	审核时间	日期时间	系统记录	自动审核或人工审核通过的时间。
维护信息	创建人	用户引用	系统记录	建单人员。
维护信息	创建时间	日期时间	系统记录	建单时间。
维护信息	最后更新人	用户引用	系统记录	最近修改人员。
维护信息	最后更新时间	日期时间	系统记录	最近修改时间。
