字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
单据信息	单号	文本	系统生成	出库单唯一标识；按统一编码规范自动生成。
单据信息	来源采退发货通知单	关联选择	采退发货通知单	一次回传或虚拟出库生成一张出库单；零出不生成结果单。
单据信息	来源采购退货单	关联选择	采购退货单	通过来源通知追溯到原退货单。
单据信息	供应商	关联选择	供应商资料	来源原单携带的供应商，用于追溯和金蝶推送；推送字段范围待接口确认。
单据信息	币别	关联选择	采购退货单	来源原单携带的交易币别；推送字段范围待接口确认。
单据信息	价税合计	金额	系统计算	按商品明细价税合计汇总。
单据信息	税额	金额	系统计算	按商品明细税额汇总。
单据信息	金额	金额	系统计算	按商品明细金额（不含税金额）汇总。
单据信息	出库仓库	关联选择	仓库资料	沿用原单指定的逻辑仓，库存按逻辑仓记账。
单据信息	业务日期	日期	系统记录	推送金蝶时使用的业务日期；取值口径（采用实际出库时间还是来源单据日期）待确认。
单据信息	实际出库时间	日期时间	系统记录	仓库最终回传实际出库结果的时间。
单据信息	备注	多行文本	手工录入	自动回传时一般为空，人工确认实际结果时可以补充。
状态与推送	审核状态	枚举	流程更新	草稿、待审核、已审核；仓库回传或虚拟出库校验通过后自动审核，人工确认实际结果时走提交审核。
状态与推送	金蝶推送状态	枚举	系统记录	未推送、推送中、推送成功、推送失败；失败重推原单，不另建业务单。
状态与推送	推送时间	日期时间	系统记录	最近一次推送金蝶的时间。
状态与推送	推送失败原因	多行文本	系统记录	金蝶推送失败时记录；修复后针对原单重试。
审核信息	审核人	用户引用	系统记录	人工审核时记录审核人；自动审核时留空。
审核信息	审核时间	日期时间	系统记录	自动审核或人工审核通过的时间。
商品明细	行号	数值	系统记录	明细行顺序号。
商品明细	来源发货通知行	关联明细	采退发货通知单	关联来源通知明细，数量按来源行回写。
商品明细	商品	关联选择	商品资料	沿用来源通知行的商品。
商品明细	基本单位	关联选择	商品资料	随来源行带出；与商品名称一起在明细展示，作为数量的计量口径，不单独维护。
商品明细	实际出库数量	数值	系统记录	仓库实际退货出库的数量；不超过通知数量；实际出库扣减即时库存并消耗本次预占。
商品明细	含税单价	金额	系统记录	来源退货单交易价格，推送金蝶时使用；推送字段范围待确认。
商品明细	税率	数值	系统记录	来源退货单交易税率。
商品明细	不含税单价	金额	系统记录	来源退货单按含税单价和税率计算的结果；单价4位、金额2位，尾差进税额。
商品明细	价税合计	金额	系统计算	本行含税金额，按实际出库数量与含税单价计算。
商品明细	税额	金额	系统计算	本行税额，按价税合计与金额计算。
商品明细	金额	金额	系统计算	本行不含税金额，按实际出库数量与不含税单价计算。
系统信息	创建人	用户引用	系统记录	建单人员。
系统信息	创建时间	日期时间	系统记录	建单时间。
系统信息	最后更新人	用户引用	系统记录	最近修改人员。
系统信息	最后更新时间	日期时间	系统记录	最近修改时间。
