字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
变动信息	变动时间	日期时间	系统记录	记账生效时间，精确到秒；筛选按日期＋时间范围比较（datetime-range 控件，原型暂无）。
变动信息	事件类型	枚举	系统记录	本次流水的事件类型：结果单入库、结果单出库、冻结、解冻；冻结、解冻流水来源单号为空，操作人与时间按系统记录保留。
变动信息	逻辑仓	关联选择	逻辑仓资料	库存变动发生的逻辑仓；虚拟在途仓的调拨在途增减同样记录。
变动信息	所属实体仓	关联选择	实体仓资料	逻辑仓归属的实体仓，按逻辑仓实时带出。
变动信息	商品编码	文本	商品资料	变动对应商品；按商品实时带出；列表按编码检索，支持批量查询。
变动信息	商品条码	多行文本	商品资料	按商品实时带出；商品有多个条码时逐条展示；支持批量查询。
变动信息	商品名称	文本	商品资料	按商品实时带出，不保存快照。
变动信息	基本单位	关联选择	商品资料	数量按商品基本单位展示；一期不做单位换算。
变动信息	库存状态	枚举	逻辑仓资料	变动所在逻辑仓的库存状态：正常品、残次品、待检品。
变动明细	即时库存变动前	数值	系统记录	本次变动前的即时库存数量；按记账生效时间写入，页面按 `前 → 后（变动）` 展示。
变动明细	即时库存变动数量	数值	系统记录	本次变动的即时库存增减，增加为正、减少为负；冻结、解冻流水为0。
变动明细	即时库存变动后	数值	系统记录	本次变动后的即时库存数量，等于变动前＋变动数量。
变动明细	可用库存变动前	数值	系统记录	本次变动前的可用库存数量（即时−预占−冻结）。
变动明细	可用库存变动数量	数值	系统记录	本次变动的可用库存增减，增加为正、减少为负。
变动明细	可用库存变动后	数值	系统记录	本次变动后的可用库存数量，等于变动前＋变动数量。
变动明细	预占库存变动前	数值	系统记录	本次变动前的预占库存数量；预占变化不记流水，本组前后一致。
变动明细	预占库存变动数量	数值	系统记录	预占变化不记流水，本值恒为0。
变动明细	预占库存变动后	数值	系统记录	本次变动后的预占库存数量，等于变动前。
变动明细	冻结库存变动前	数值	系统记录	本次变动前的冻结库存数量。
变动明细	冻结库存变动数量	数值	系统记录	本次变动的冻结库存增减，冻结为正、解冻为负，结果单流水为0。
变动明细	冻结库存变动后	数值	系统记录	本次变动后的冻结库存数量，等于变动前＋变动数量。
变动信息	变动方向	枚举	系统计算	增加、减少；由结果单对逻辑仓库存的作用方向决定。
变动信息	变动数量	数值	系统计算	本次实际变动数量，正整数；方向由变动方向列表达。
来源信息	来源单据类型	枚举	系统回写	产生本次变动的结果单类型：采购入库单、采退出库单、销售出库单、销退入库单、其他入库单、其他出库单、直接调拨单。
来源信息	来源单号	文本	系统回写	对应结果单的单号；点击进入结果单详情；冻结、解冻流水为空。
来源信息	业务类型	枚举	其他出入库申请单	其他出入库的业务类型；仅其他出入库结果有值；取值：其他入库：盘盈、样品回收、借出归还、退料、赠品入库；其他出库：盘亏、样品领用、赠送、报废、借出（2026-09-23确认）。
