字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
基础信息	供应商编码	文本	生成方式待确认	成品供应商的统一业务标识；生成及修改规则待确认。
基础信息	供应商名称	文本	手工录入	供应商正式名称。
基础信息	供应商分类	枚举	人工选择	充电器类、数据线类、移动电源类、综合类、其他；按主要供货品类选择，不维护具体商品供货关系。
基础信息	供应商等级	枚举	人工维护	S 级、A 级、B 级、C 级、未评级；评价标准后续明确，不自动决定采购资格。
基础信息	统一社会信用代码	文本	手工录入	候选；用于识别境内企业身份。
基础信息	备注	多行文本	手工录入	候选；补充供应商说明。
结算与付款资料	默认币别	关联选择	辅助资料／币别	供应商默认交易币别。
结算与付款资料	结算方式	枚举	辅助资料／结算方式	电汇、现金、支票等支付方式；正式选项待确定，不另设同义付款方式字段。
结算与付款资料	付款条件	枚举	辅助资料／付款条件	预留枚举选项，统一表达月结及分阶段付款；不拆付款节点、比例明细或独立账期配置。
联系人明细	联系人姓名	文本	手工录入	每条联系人的姓名或称呼；支持多条联系人。
联系人明细	联系人类型	枚举	人工选择	候选；如业务、财务、其他，具体选项待确认。
联系人明细	手机号码	文本	手工录入	候选；移动联系方式。
联系人明细	固定电话	文本	手工录入	候选；可包含区号及分机。
联系人明细	电子邮箱	文本	手工录入	候选；用于业务资料联系。
联系人明细	是否默认联系人	布尔	人工设置	每个供应商最多一个默认联系人；引用时优先带入，无默认项时手动选择，不自动取第一条。
联系人明细	联系人备注	多行文本	手工录入	候选；该联系人的补充说明。
地址明细	地址类型	枚举	人工选择	候选；办公、发货、退货等用途，具体选项待确认；支持多条地址。
地址明细	国家／地区	关联选择	地区资料	候选；地址所属国家或地区。
地址明细	省	关联选择	地区资料	候选；地址所属行政区域。
地址明细	市	关联选择	地区资料	候选；地址所属行政区域。
地址明细	区	关联选择	地区资料	候选；地址所属行政区域。
地址明细	详细地址	文本	手工录入	街道、门牌、楼层等具体信息。
地址明细	地址联系人	文本	手工录入	候选；该地点实际对接或收货人员。
地址明细	联系电话	文本	手工录入	候选；该地点的联系电话。
地址明细	邮政编码	文本	手工录入	候选；邮寄使用，按文本保存。
地址明细	是否默认地址	布尔	人工设置	每个供应商最多一个默认地址；引用时优先带入，无默认项时手动选择，不自动取第一条。
地址明细	地址备注	多行文本	手工录入	候选；该地址的补充说明。
银行信息	收款户名	文本	手工录入	收款账户开户名称；支持多条银行信息。
银行信息	收款账号	文本	手工录入	银行账号，按文本保存以保留前导零。
银行信息	开户银行	文本	手工录入	开户银行名称。
银行信息	开户支行	文本	手工录入	候选；具体开户网点。
银行信息	银行联行号	文本	手工录入	候选；付款使用的银行识别信息。
银行信息	账户币别	关联选择	辅助资料／币别	候选；账户对应币别。
银行信息	是否默认收款账户	布尔	人工设置	每个供应商最多一个默认收款账户；引用时优先带入，无默认项时手动选择，不自动取第一条；默认不代表自动付款。
银行信息	账户备注	多行文本	手工录入	候选；该账户的使用说明。
审核与使用状态	审核状态	枚举	流程更新	草稿、待审核、审核通过、已驳回；提交进入待审核，驳回后可修改并重新提交。已审核资料修改后的重审机制预留。
审核与使用状态	使用状态	枚举	人工维护	启用／禁用；采购只能选择审核通过且启用的供应商，等级不影响采购资格。
审核与使用状态	审核人	用户引用	系统记录	最近一次完成审核（通过或驳回）的人员。
审核与使用状态	审核时间	日期时间	系统记录	最近一次完成审核（通过或驳回）的时间。
维护信息	创建人	用户引用	系统记录	供应商建档人员。
维护信息	创建时间	日期时间	系统记录	供应商建档时间。
维护信息	更新人	用户引用	系统记录	最近修改资料的人员。
维护信息	更新时间	日期时间	系统记录	最近修改资料的时间。
