字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
单据信息	单号	文本	系统生成	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	入库单唯一标识；按统一编码规范自动生成。	按《6.强盛ERP的编码规则和通用字段规则》第一节生成	常规由回传或虚拟入库自动生成；外部ToC结果归集同样自动编号；前缀 XTRK
单据信息	来源类型	枚举	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	区分入库单的生成路径，用于列表筛选与追溯展示。	销退收货通知／外部ToC	详情页展示；销退收货通知路径须有关联通知
单据信息	来源销退收货通知单	关联选择	销退收货通知单	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	一张通知最多一张有效入库单；仓库回传或虚拟入库均可生成；零收不生成结果单。	对应的销退收货通知单	外部ToC路径留空，列表展示为「—」
单据信息	来源销售退货单	关联选择	销售退货单	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	通过来源通知追溯到原退货单；外部ToC路径留空。	通过来源通知追溯到原销售退货单	用于追溯和展示
单据信息	外部原始订单	关联选择	外部原始订单	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	是	是	外部ToC路径关联来源平台订单，用于按来源拆分接收与追溯；经通知的路径留空。	外部平台原始订单	仅外部ToC路径展示与筛选
单据信息	客户	关联选择	客户资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	来源原单携带的客户，用于追溯和金蝶推送；推送范围已确认：单据信息与明细价税字段逐单全部推送（2026-09-22）。	来源原单携带的客户	沿用来源携带，用户不可另选
单据信息	币别	关联选择	销售退货单	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	来源原单携带的交易币别；推送范围已确认：单据信息与明细价税字段逐单全部推送（2026-09-22）。	来源销售退货单携带的交易币别	无
单据信息	价税合计	金额	系统计算	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	按商品明细价税合计汇总。	按商品明细价税合计汇总	精度已定：单价4位、金额税额2位、尾差进税额
单据信息	税额	金额	系统计算	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	按商品明细税额汇总。	按商品明细税额汇总	精度已定：单价4位、金额税额2位、尾差进税额
单据信息	金额	金额	系统计算	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	按商品明细金额（不含税金额）汇总。	按商品明细金额汇总	指不含税金额合计；精度已定：单价4位、金额税额2位、尾差进税额
