字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
变动信息	变动时间	日期时间	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	记账生效时间，精确到秒；结果单流水取结果单记账生效时间，冻结、解冻流水取操作生效时间。	系统记录，格式 YYYY-MM-DD HH:mm:ss	筛选按日期＋时间范围比较（datetime-range 控件，原型已支持）；默认排序按此列倒序
变动信息	事件类型	枚举	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	本次流水对应的事件：结果单记账、销售订单预占与释放，或人工冻结、解冻。	结果单入库、结果单出库、订单预占、订单释放、冻结、解冻	枚举逐字来自本清单；订单预占／释放来源类型为销售订单；冻结、解冻来源单据类型与来源单号为空（展示 `-`），操作人与时间按系统记录保留，本期列表不单列操作人
变动信息	逻辑仓	关联选择	逻辑仓资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	库存变动发生的逻辑仓。	全部逻辑仓（含已禁用、虚拟在途仓），按 Code-Name 展示（在途仓按普通行口径，见《库存查询主PRD》Q04已定）	虚拟在途仓的调拨在途增减同样记录；筛选可多选
变动信息	所属实体仓	关联选择	实体仓资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	逻辑仓归属的实体仓，按逻辑仓实时带出。	按逻辑仓带出的实体仓（查询含已禁用），按 Code-Name 展示	实体仓禁用不级联影响既有逻辑仓历史流水；筛选选项含已禁用实体仓
变动信息	商品编码	文本	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	变动对应商品；按商品实时带出，不保存快照。	商品资料的商品编码	列表按编码模糊检索；支持批量查询（多个编码用换行或逗号分隔，任一命中）
变动信息	商品条码	多行文本	商品资料	否	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	按商品实时带出；多条码逐条展示。	商品资料的商品条码，一行一条	列表按条码模糊检索，任一条码命中即可；支持批量查询
变动信息	商品名称	文本	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	按商品实时带出，不保存快照。	商品资料的当前名称	商品改名后按最新名称展示
变动信息	基本单位	关联选择	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	数量按商品基本单位展示。	商品资料的基本单位	一期不做单位换算（《6.强盛ERP的编码规则和通用字段规则》Q16）
变动信息	库存状态	枚举	逻辑仓资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	变动所在逻辑仓的库存状态。	正常品、残次品、待检品	枚举逐字来自《逻辑仓资料（详细稿）》；筛选可多选
变动明细	即时库存变动前	数值	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	本次变动前该「逻辑仓＋商品」的即时库存数量；按记账生效时间写入。	整数；按基本单位	页面与导出按 `前 → 后（变动）` 展示（如 `100 → 90（-10）`）；无变化显示 `x → x（0）`
变动明细	即时库存变动数量	数值	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	本次变动带来的即时库存增减；冻结、解冻不改变即时库存，本值为0。	整数；增加为正、减少为负；按基本单位	页面与导出按 `前 → 后（变动）` 展示；无变化显示 `x → x（0）`；一期数量不允许小数
