字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
单据信息	单号	文本	系统生成	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	出库单唯一标识；按统一编码规范自动生成。	按《6.强盛ERP的编码规则和通用字段规则》第一节生成	常规由回传自动生成；人工确认实际结果时同样自动编号；编码规则见《6.强盛ERP的编码规则和通用字段规则》第一节
单据信息	来源采退发货通知单	关联选择	采退发货通知单	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	一张通知最多一张有效出库单；仓库回传或虚拟出库均可生成；零出不生成结果单。	对应的采退发货通知单	无
单据信息	来源采购退货单	关联选择	采购退货单	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	通过来源通知追溯到原退货单。	通过来源通知追溯到原采购退货单	用于追溯和展示
单据信息	供应商	关联选择	供应商资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	来源原单携带的供应商，用于追溯和金蝶推送；推送范围已确认：单据信息与明细价税字段逐单全部推送（2026-09-22）。	来源原单携带的供应商	无
单据信息	币别	关联选择	采购退货单	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	来源原单携带的交易币别；推送范围已确认：单据信息与明细价税字段逐单全部推送（2026-09-22）。	来源原单携带的交易币别	无
单据信息	价税合计	金额	系统计算	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	按商品明细价税合计汇总。	按商品明细价税合计汇总	精度已定：单价4位、金额税额2位、尾差进税额
单据信息	税额	金额	系统计算	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	按商品明细税额汇总。	按商品明细税额汇总	精度已定：单价4位、金额税额2位、尾差进税额
单据信息	金额	金额	系统计算	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	按商品明细金额（不含税金额）汇总。	按商品明细金额汇总	指不含税金额合计；精度已定：单价4位、金额税额2位、尾差进税额
单据信息	出库仓库	关联选择	仓库资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	沿用原单指定的逻辑仓，库存按逻辑仓记账。	原单指定的逻辑仓	归属依据不足时挂异常，不任意选仓
单据信息	业务日期	日期	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	推送金蝶时使用的业务日期；取实际出库时间的日期部分。	取实际出库时间的日期部分	与采购入库单同一口径，取实际出库时间的日期部分
单据信息	实际出库时间	日期时间	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	仓库最终回传实际出库结果的时间。	仓库最终回传实际出库结果的时间	无
单据信息	备注	多行文本	手工录入	否	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	自动回传时一般为空，人工确认实际结果时可以补充。	自由文本	无
状态与推送	审核状态	枚举	流程更新	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	草稿、待审核、已审核；回传校验通过后自动审核，人工确认实际结果时走提交审核。	草稿／待审核／已审核	无
状态与推送	金蝶推送状态	枚举	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	未推送、推送中、推送成功、推送失败；失败在系统集成中心重推原单，不另建业务单。	未推送／推送中／推送成功／推送失败	失败在系统集成中心重推原单；失败记录见 INT-FR03、INT-FR05
状态与推送	推送金蝶时间	日期时间	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	最近一次推送金蝶的时间。	最近一次推送金蝶的时间	未推送时留空
状态与推送	推送失败原因	多行文本	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	金蝶推送失败时记录；修复后针对原单重试。	金蝶推送失败时记录	未失败时留空
审核信息	审核人	用户引用	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	人工审核时记录审核人；自动审核时留空。	人工审核时记录审核人	无
审核信息	审核时间	日期时间	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	自动审核或人工审核通过的时间。	自动审核或人工审核通过的时间	未审核时留空
