字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
单据信息	单号	文本	系统生成	是	只读	只读	是	是	是	通知单唯一标识；按统一编码规范自动生成。	按《6.强盛ERP的编码规则和通用字段规则》第一节生成	编码规则见《6.强盛ERP的编码规则和通用字段规则》第一节；前缀 XSFHTZ
单据信息	来源销售订单	关联选择	销售订单	是	只读	只读	是	是	是	创建时必须来自已审核、正常且有可下推数量的销售订单；一张订单可以生成多张通知单。	已审核、正常且有可下推数量的销售订单	列表展示为链接，可跳转来源销售订单详情
单据信息	客户	关联选择	销售订单	是	只读	只读	是	是	是	沿用来源销售订单的客户。	沿用来源销售订单的客户	页面展示按 Code-Name；列表可筛选
单据信息	发货仓库	关联选择	仓库资料	是	只读	只读	是	是	是	沿用来源销售订单的发货仓库。	沿用来源单据的发货仓库（逻辑仓）	仓库执行按原单逻辑仓记账
单据信息	发货处理方式	枚举	人工选择	是	是	只读	是	是	是	创建时选择本次如何出库。仓库发货：创建后自动推送仓库。虚拟出库：不推仓库，创建后按通知数量直接生成销售出库单，通知变为已发货。	仓库发货／虚拟出库；默认仓库发货	保存后不可改；与单据状态同属一区；详情页展示
单据信息	单据状态	枚举	流程更新	是	否	只读	是	是	是	待推送、推送中、推送失败、待发货、取消中、已发货、已取消。仓库发货时创建后由系统自动推送仓库，不需要人工再点推送；虚拟出库创建成功即为已发货。	待推送／推送中／推送失败／待发货／取消中／已发货／已取消	详情页页头以状态标签展示，与单据信息同属一区；零出按取消结束；通知不设部分发货状态；虚拟出库不进入待推送
单据信息	推送时间	日期时间	系统记录	条件必填	否	否	否	否	是	最近一次推送仓库的时间。	最近一次推送仓库的时间	未推送时留空
单据信息	最终发货确认时间	日期时间	系统记录	条件必填	否	否	否	否	是	仓库最终回传发货结果的时间，或虚拟出库创建成功的时间；还没确认时留空。	仓库最终回传或虚拟出库确认的时间	还没确认时留空
单据信息	推送失败原因	多行文本	系统记录	条件必填	否	否	否	否	是	推送明确失败时记录；重试成功后仍保留历史。	推送明确失败时记录	未失败时留空；重试成功后仍保留历史；详情有值时独占一行占3列
单据信息	备注	多行文本	手工录入	否	是	是	否	否	是	补充说明。	自由文本	无
发货与物流	发货方式	枚举	销售订单继承或人工选择	是	是	只读	是	是	是	本次交付方式。默认继承来源销售订单；分批发货时可覆盖。物流配送须选择发货地址和物流服务产品（或由仓库指定）；自提仍走仓库发货，仓库凭单放货。	默认继承订单；可选物流配送／自提	保存后不可改；自提不选物流服务产品
发货与物流	发货地址	关联选择	客户资料	条件必填	是	只读	否	否	是	从来源客户地址明细选择本次发货地址；默认继承销售订单约定地址，分批发货时可改选；物流配送时必填。	来源客户已维护的地址明细；默认继承订单约定地址	保存后不可改；自提时不填；详情按省市区+详细地址展示
发货与物流	物流服务产品	关联选择	物流资料	条件必填	是	只读	否	否	是	物流配送时选择启用的物流服务产品，或选「由仓库指定」；默认继承销售订单。	默认继承订单；或启用的物流服务产品，或特殊选项「由仓库指定」；自提时不选	保存后不可改；「由仓库指定」不创建虚拟档案
发货与物流	运单号	文本	系统回写	条件必填	否	否	否	否	是	仓库或渠道方回传的实际运单号。	仓库或渠道方回传	未回传时留空；自提时通常留空
商品明细	行号	数值	系统记录	是	只读	只读	否	否	是	明细行顺序号。	从 1 开始的整数	无
商品明细	来源订单行	关联明细	销售订单	是	只读	只读	否	否	是	关联来源销售订单明细，数量按来源行累计。	关联来源销售订单明细	数量按来源行累计
商品明细	商品	关联选择	商品资料	是	只读	只读	否	是	是	沿用来源销售订单行的商品。	沿用来源销售订单行的成品 SKU	后台关联字段；页面拆列展示商品编码、商品条码、商品名称；可筛选=是表示可按商品检索，页面由商品编码、商品条码两个搜索框承载（2026-09-22）
商品明细	商品编码	文本	商品资料	是	只读	只读	否	是	是	沿用来源订单行；明细表单独成列展示。	商品资料的商品编码	列表按编码模糊检索包含该商品的通知单
