字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
基础信息	逻辑仓编码	文本	系统生成或手工录入	逻辑仓独立业务标识；生成、唯一范围及修改规则见《6.强盛ERP的编码规则和通用字段规则》。
基础信息	逻辑仓名称	文本	手工录入	人工自定义，如B2B正常品仓、电商残次品仓；示例不构成业务类型限制。
基础信息	所属实体仓	关联选择	实体仓资料	每个逻辑仓关联一个实体仓；新增或重新选择时只能引用审核通过且启用的实体仓。父仓后续禁用不影响已有逻辑仓及业务。
基础信息	库存状态	枚举	人工选择	正常品、残次品、待检品；相同实体仓下可创建多个相同库存状态的逻辑仓，不按组合限制数量。
基础信息	备注	多行文本	手工录入	说明人工划分用途，不另设强制业务类型字段。
审核与使用	审核状态	枚举	流程更新	草稿、待审核、审核通过、已驳回；沿用已讨论的提交审核流程，一期不指定岗位，有审核权限即可。
审核与使用	使用状态	枚举	人工维护	启用／禁用；业务资格由逻辑仓自身审核通过且启用决定，不因父实体仓禁用受限。可以禁用：新单不能选，已有业务继续，有库存或未完成单据不阻断。
审核与使用	审核人	用户引用	系统记录	最近一次审核通过或驳回的操作人员。
审核与使用	审核时间	日期时间	系统记录	最近一次审核通过或驳回的操作时间。
维护信息	创建人	用户引用	系统记录	建档人员。
维护信息	创建时间	日期时间	系统记录	建档时间。
维护信息	最后更新人	用户引用	系统记录	最近修改人员。
维护信息	最后更新时间	日期时间	系统记录	最近修改时间。
