字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
价格信息	供应商	关联选择	供应商资料	采购价格归属的供应商；只表示价格归属，不建立商品供货资格。
价格信息	商品编码	文本	商品资料	价目对应商品；按商品实时带出，不保存快照；列表按编码检索。
价格信息	商品条码	多行文本	商品资料	按商品实时带出；商品有多个条码时逐条展示。
价格信息	商品名称	文本	商品资料	按商品实时带出，不保存快照。
价格信息	基本单位	关联选择	商品资料	价目按商品基本单位计价；一期不做单位换算和数量阶梯价。
价格信息	币别	关联选择	辅助资料／币别	价格所属币别；不同币别价格互相独立，不做汇率换算。
价格信息	含税单价	金额	商品建档或价格调整单	当前采购价；商品建档生成初始价或采购价格调整单审核通过后写入；保留4位小数。
价格信息	税率	数值	采购价格调整单（商品建档生成初始价时为空）	当前采购价对应税率；商品建档没有初始采购税率字段，后续由采购人员结合供应商纳税人类型手动填写；百分比最多2位小数，允许0%。
价格信息	不含税单价	金额	系统计算	按含税单价和税率计算，保留4位小数；商品建档生成初始采购价时税率为空、不含税单价也为空；税率0%时等于含税单价。
来源与更新	最近调整单号	文本	系统回写	最近一次审核通过并生效的采购价格调整单号；商品建档生成的记录为空。
操作信息	创建人	用户引用	系统记录	价目记录生成的操作人。
操作信息	创建时间	日期时间	系统记录	价目记录生成时间。
操作信息	最后更新人	用户引用	系统记录	最近一次覆盖价目记录的操作人。
操作信息	最后更新时间	日期时间	系统记录	最近一次覆盖时间；列表默认按此列倒序。
