字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
单据信息	单号	文本	系统生成	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	入库单唯一标识；按统一编码规范自动生成。	按《6.强盛ERP的编码规则和通用字段规则》第一节生成，前缀QTRK	生成时分配；用户不可编辑；结果单不重用单号
单据信息	来源类型	枚举	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	区分申请执行回传与仓库主动回传；用于列表筛选与追溯。	申请执行、仓库主动回传	枚举逐字来自本清单；无来源申请单时取「仓库主动回传」
单据信息	来源其他入库申请单	关联选择	其他入库申请单	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	有来源时关联一张待收货或取消中的申请单；一张申请最多一张有效入库单。	待收货或取消中的其他入库申请单	来源类型=申请执行时必填；仓库主动回传时留空展示 `-`；点击可跳转申请单详情
单据信息	来源系统	文本	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	仓库主动回传时的来源系统标识；沿用「来源系统＋来源单号」识别。	来源系统名称或代码	申请执行回传时留空；识别口径待确认（Q06）
单据信息	来源单号	文本	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	仓库主动回传时的来源单号，用于追溯与对账。	来源系统的单号	申请执行回传时留空；不做ERP内部唯一约束
单据信息	入库仓库	关联选择	逻辑仓资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	本次入库的逻辑仓；沿用来源申请单或按确认映射识别。	逻辑仓（含虚拟在途仓口径待确认）	归属依据不足时不随便选仓，保留异常；不按实体仓合并不同货主库存
单据信息	业务类型	枚举	系统回写	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	本次入库原因；沿用来源申请单或按回传类型记录。	盘盈、样品回收、借出归还、退料、赠品入库	枚举清单已定（2026-09-23）；筛选已开放
单据信息	实际入库时间	日期时间	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	仓库最终回传实际入库结果的时间。	系统记录，格式YYYY-MM-DD HH:mm:ss	无
单据信息	业务日期	日期	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	推送财务ERP时使用的业务日期；取实际入库时间的日期部分。	取实际入库时间的日期部分	列表默认按业务日期倒序，该列不展示
单据信息	备注	多行文本	人工录入	否	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	补充说明；自动回传时一般为空。	自由文本	长度按REMARK_500
