字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
单据信息	单号	文本	系统生成	采购订单唯一标识；按统一编码规范自动生成。
单据信息	单据日期	日期	手工录入	本单业务日期；新增默认当天，草稿可改，提交后不可改。
单据信息	供应商	关联选择	供应商资料	只能选择审核通过且启用的成品供应商；不要求预先建立供货关系。
单据信息	币别	关联选择	辅助资料／币别	本单交易币别；选供应商后默认带出供应商默认币别，无默认则手选；按供应商、商品、币别取当前采购价；不带出结算方式、付款条件。
单据信息	价税合计	金额	系统计算	按商品明细价税合计汇总；2位小数，尾差进税额。
单据信息	税额	金额	系统计算	按商品明细税额汇总；2位小数，尾差进税额。
单据信息	金额	金额	系统计算	按商品明细金额（不含税金额）汇总；2位小数。
单据信息	审核状态	枚举	流程更新	草稿、待审核、已审核；撤回后回到草稿。详情页在页头以状态标签展示。
单据信息	业务状态	枚举	人工维护或系统更新	正常、已取消、已关闭；不能反关单，取消与关闭都不可撤销。详情页在页头以状态标签展示。
单据信息	收货状态	枚举	系统计算	未收货、部分收货、全部收货；按各行累计入库数量自动计算，全部收足也不会自动关闭订单。详情页在页头以状态标签展示。
单据信息	备注	多行文本	手工录入	补充说明；列表默认展示。
收货与交期	收货仓库	关联选择	仓库资料	一张订单只有一个收货仓库，不同仓库或交期要拆单；具体指向实体仓还是逻辑仓待确认，入库需要按逻辑仓记账。
收货与交期	承诺交期	日期	手工录入	供应商承诺的交货日期；已审核后只能调整交期，数量和价格不变。
单据信息	总采购数量	数值	系统计算	各明细行采购数量之和；列表展示。
单据信息	总可下推数量	数值	系统计算	各行可下推数量之和；仅已审核且业务状态为正常时汇总，否则为 0；列表列名简称「可下推数量」。
单据信息	累计入库数量	数值	系统回写	各明细行累计入库数量之和；列表展示。
商品明细	行号	数值	系统记录	明细行顺序号。
商品明细	商品	关联选择	商品资料	选择成品 SKU；选后带出商品编码、商品条码、商品名称和基本单位；不按该供应商是否已有价格过滤可选商品。后台关联字段，页面不单独展示商品列。
商品明细	商品编码	文本	商品资料	按所选商品实时带出；明细表单独成列展示；新增编辑页为选品入口；列表支持按编码检索。
商品明细	商品条码	多行文本	商品资料	按所选商品实时带出；列表支持按条码检索；多条码展示规则待确认。
商品明细	商品名称	文本	商品资料	按所选商品实时带出；明细表单独成列展示。
商品明细	基本单位	关联选择	商品资料	按所选商品实时带出，作为数量的计量口径，不单独维护。
商品明细	采购数量	数值	手工录入	以基本单位计量，必须大于 0；审核后固定，不因延期或调价改变。
商品明细	含税单价	金额	手工录入或价格带出	按供应商、商品、币别带出当前采购价；没有匹配价格可以手工填写；草稿可改，提交后锁定。
商品明细	税率	数值	手工录入或价格带出	按四维取价时随采购价目表带出；无法取得价格时可从商品默认信息带出或由用户填写；提交后锁定；按百分比最多2位小数，允许0%。
商品明细	不含税单价	金额	系统计算	按含税单价和税率自动计算；单价4位小数，行内尾差进税额。
商品明细	价税合计	金额	系统计算	本行含税金额，按采购数量与含税单价计算；2位小数。
商品明细	税额	金额	系统计算	本行税额，按价税合计与金额计算；2位小数，尾差进税额。
商品明细	金额	金额	系统计算	本行不含税金额，按采购数量与不含税单价计算；2位小数。
商品明细	累计入库数量	数值	系统回写	由已审核采购入库单按来源行回写的累计实际入库数量。
商品明细	剩余入库数量	数值	系统计算	尚未入库的数量，按采购数量减累计入库数量计算。
商品明细	可下推数量	数值	系统计算	采购数量减已结束通知的实际收货数量，再减未结束通知的通知数量；不同 SKU 不互相抵用，订单关闭后不再安排。
商品明细	在途通知数量	数值	系统计算	未结束的采购收货通知单占用的数量；通知创建即计入，取消成功释放，收货完成后被实际入库数量替代。
终止信息	关闭方式	枚举	人工关闭或系统自动	手动关闭、到期自动关闭；未关闭时留空。详情页仅在已关闭时展示本分组。
终止信息	关闭原因	文本	手工录入或系统记录	手工关闭时填写；到期自动关闭记录触发条件，具体口径待确认。
终止信息	关闭时间	日期时间	系统记录	关闭操作发生的时间；未关闭时留空。
终止信息	关闭操作人	用户引用	系统记录	手工关闭记录操作人；到期自动关闭时留空，用关闭方式表达。未关闭时留空。
终止信息	取消原因	文本	手工录入	整单取消时填写。
终止信息	取消时间	日期时间	系统记录	取消操作发生的时间；未取消时留空。
终止信息	取消操作人	用户引用	系统记录	执行取消操作的人员；未取消时留空。
操作信息	审核人	用户引用	系统记录	最近一次完成审核或撤回的人员；未审核时留空。
操作信息	审核时间	日期时间	系统记录	最近一次审核操作的时间；未审核时留空。
操作信息	撤回意见	多行文本	人工录入	撤回时填写并保留；撤回后回到草稿；未撤回时留空。
操作信息	创建人	用户引用	系统记录	建单人员。
操作信息	创建时间	日期时间	系统记录	建单时间；列表支持日期范围筛选。
操作信息	最后更新人	用户引用	系统记录	最近修改人员。
操作信息	最后更新时间	日期时间	系统记录	最近修改时间。
