字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
单据信息	单号	文本	系统生成	是	只读	只读	是	是	是	销售退货单唯一标识；按统一编码规范自动生成。	按《6.强盛ERP的编码规则和通用字段规则》第一节生成	编码规则见《6.强盛ERP的编码规则和通用字段规则》第一节；前缀 XSTH
单据信息	客户	关联选择	客户资料	是	是	是	是	是	是	一张退货单只对应一个客户；只能选择审核通过且启用的客户。	审核通过且启用的客户	选项与展示均按Code-Name
单据信息	币别	关联选择	辅助资料／币别	是	是	是	是	否	是	本单交易币别；选客户后默认带出客户默认币别，无默认则手选。	辅助资料维护的币别	改客户或改币别清空明细价格并按新条件重取（PRI-FR05）
单据信息	价税合计	金额	系统计算	是	只读	只读	是	否	是	按商品明细价税合计汇总。	按商品明细价税合计汇总	精度已定：单价4位、金额税额2位、尾差进税额
单据信息	税额	金额	系统计算	是	只读	只读	是	否	是	按商品明细税额汇总。	按商品明细税额汇总	精度已定：单价4位、金额税额2位、尾差进税额
单据信息	金额	金额	系统计算	是	只读	只读	是	否	是	按商品明细金额（不含税金额）汇总。	按商品明细金额汇总	指不含税金额合计；精度已定：单价4位、金额税额2位、尾差进税额
单据信息	收货仓库	关联选择	仓库资料	是	是	是	是	是	是	一张退货单只有一个收货仓，实际选择逻辑仓；溯源退货沿用原出库单仓库且不可切换，无来源退货可指定收货仓。	审核通过且启用的逻辑仓	溯源退货不允许切换原单仓库（SAL-FR05）；实物只进入该逻辑仓，品质问题后续走调拨
单据信息	退货截止时间	日期时间	手工录入	是	是	是	是	是	是	到期未退部分在截止时间过后T+2自然日自动关闭；审核后仅可调整本字段。	到期未退部分按规则自动关闭的时间	宽限为T+2自然日、每天北京时间0:00跑批；审核后可改截止时间（SAL-AC07）；不设默认值，必填手填（2026-09-22确认）
单据信息	来源销售出库单	关联选择	销售出库单	否	是	是	是	是	是	可选关联（溯源退货）；关联时带出原出库商品、数量和价格，也可以无来源手工创建。	可选关联的原销售出库单	溯源累计不超过原实际出库量；审核占可退额度，草稿不占；无来源不套原出库额度
单据信息	备注	多行文本	手工录入	否	是	是	否	否	是	补充说明。	自由文本	无
商品明细	行号	数值	系统记录	是	只读	只读	否	否	是	明细行顺序号。	从1开始的整数	无
商品明细	商品	关联选择	商品资料	是	是	是	否	否	是	选择退回的成品SKU；有来源时由原出库明细带出；不按是否已有销售价格过滤可选商品。	退回的成品SKU	后台关联字段；页面以商品编码列为选品入口
商品明细	商品编码	文本	商品资料	是	只读	只读	否	是	是	按所选商品带出；明细表单独成列展示。	商品资料的商品编码	列表按编码模糊检索包含该商品的退货单
商品明细	商品条码	多行文本	商品资料	否	只读	只读	否	是	是	按所选商品带出；一行一个条码。	商品资料的商品条码，一行一条	列表按条码模糊检索；多条码任一条码命中即可（2026-09-22确认）
商品明细	商品名称	文本	商品资料	是	只读	只读	否	否	是	按所选商品带出；明细表单独成列展示。	商品资料的商品名称	无
商品明细	基本单位	关联选择	商品资料	是	只读	只读	否	否	是	按所选商品带出，作为数量的计量口径，不单独维护。	商品资料的基本单位	按所选商品实时带出，与商品名称一起在明细展示
商品明细	来源出库单行	关联明细	销售出库单	否	只读	只读	否	否	是	有来源时关联原出库明细，带出数量和原出库价格；无来源时留空。	有来源时关联原出库明细	无来源时留空
