字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
价格信息	供应商	关联选择	供应商资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	采购价格归属的供应商；只表示价格归属，不建立商品供货资格。	审核通过且启用的供应商	按 Code-Name 展示；供应商变化后按新供应商取价（PRI-FR02、PRI-FR05）
价格信息	商品编码	文本	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	价目对应商品；按商品实时带出，不保存快照。	商品资料的商品编码	列表按编码模糊检索
价格信息	商品条码	多行文本	商品资料	否	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	按商品实时带出；多条码逐条展示。	商品资料的商品条码，一行一条	列表按条码模糊检索，任一条码命中即可
价格信息	商品名称	文本	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	按商品实时带出，不保存快照。	商品资料的当前名称	商品改名后按最新名称展示
价格信息	基本单位	关联选择	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	价目按商品基本单位计价。	商品资料的基本单位	一期不做单位换算和数量阶梯价（PRI-FR02；《6.强盛ERP的编码规则和通用字段规则》Q16）
价格信息	币别	关联选择	辅助资料／币别	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	价格所属币别；不同币别价格互相独立。	辅助资料维护的启用币别	按「{币别编码} {币别名称}」展示（如 CNY 人民币）；不跨币别换汇（PRI-FR04）
价格信息	含税单价	金额	商品建档或价格调整单	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	当前采购价；商品建档生成初始价或采购价格调整单审核通过后写入。	大于0；保留4位小数	单价精度见《6.强盛ERP的编码规则和通用字段规则》Q14；页面按千分位展示
价格信息	税率	数值	采购价格调整单（商品建档生成初始价时为空）	否	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	当前采购价对应税率；商品建档没有初始采购税率字段。	百分比，最多2位小数，允许0%	初始采购价目记录税率为空；采购人员结合供应商纳税人类型手动填写采购调整单税率，业务单据命中初始价且税率为空时由采购人员手动补填（主PRD R04、Q01、Q02已定）
价格信息	不含税单价	金额	系统计算	条件必填（税率有值时由系统计算）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	按含税单价和税率计算，不单独维护。	含税单价÷(1+税率÷100)，四舍五入保留4位小数；税率0%时等于含税单价；税率有值时按公式计算，税率空时为空	初始采购价目记录税率为空时，本字段为空；计算口径见主PRD R04
来源与更新	最近调整单号	文本	系统回写	否	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	最近一次审核通过并生效的采购价格调整单号。	采购价格调整单号；商品建档生成的记录为空	为空时展示 `-`；单号可点击跳转调整单详情（《价格业务设计》§5.2 追溯）
操作信息	创建人	用户引用	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	价目记录生成的操作人。	系统记录	可选列（列设置）；显示触发人员姓名（商品建档人、调整单审核人）（主PRD Q03已定）
操作信息	创建时间	日期时间	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	价目记录生成时间。	系统记录	商品建档生成或首次调价生效时写入
操作信息	最后更新人	用户引用	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	最近一次覆盖价目记录的操作人。	系统记录	可选列（列设置）；展示口径同创建人
操作信息	最后更新时间	日期时间	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	最近一次覆盖时间。	系统记录	列表默认按此列倒序；支持日期范围筛选
