字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
单据信息	单号	文本	系统生成	销售订单唯一标识；按统一编码规范自动生成，B2B销售订单前缀为XSDD。
单据信息	客户	关联选择	客户资料	只能选择审核通过且启用的客户；一张订单对应一个客户。
单据信息	币别	关联选择	辅助资料／币别	本单交易币别；默认带出客户默认币别，无默认时手选。
单据信息	价税合计	金额	系统计算	按商品明细价税合计汇总，指含税总额。
单据信息	税额	金额	系统计算	按商品明细税额汇总。
单据信息	金额	金额	系统计算	按商品明细金额汇总，指不含税金额合计。
单据信息	审核状态	枚举	流程更新	草稿、待审核、已审核；撤回后回到草稿。
单据信息	业务状态	枚举	人工维护或系统更新	正常、已取消、已关闭；取消和关闭不可撤销。
单据信息	发货状态	枚举	系统计算	未发货、部分发货、全部发货；按累计实际出库数量计算，全部发货后立即自动关闭订单。
单据信息	备注	多行文本	手工录入	补充说明。
发货与交期	发货仓库	关联选择	仓库资料	一张订单只有一个发货仓库，实际选择逻辑仓；不同逻辑仓或交期要拆单，出库按所选逻辑仓记账。
发货与交期	交期	日期	手工录入	客户约定的交付日期；已审核后仅允许调整该字段。
单据信息	总销售数量	数值	系统计算	各明细行销售数量之和。
单据信息	总可下推数量	数值	系统计算	各明细行可下推数量之和；仅已审核且业务状态为正常时汇总展示，否则为0。
单据信息	累计实际出库数量	数值	系统回写	各明细行累计实际出库数量之和。
单据信息	订单剩余预占	数值	系统计算	审核占用量减累计实际出库量；关闭或取消发生释放后按销售订单PRD规则计算。
商品明细	行号	数值	系统记录	明细行顺序号。
商品明细	商品	关联选择	商品资料	选择可用成品SKU；选后带出商品编码、商品条码、商品名称和基本单位；不按是否已有销售价格过滤可选商品。
商品明细	商品编码	文本	商品资料	按所选商品带出；明细表单独成列展示。
商品明细	商品条码	多行文本	商品资料	按所选商品带出；一行一个条码。
商品明细	商品名称	文本	商品资料	按所选商品带出；明细表单独成列展示。
商品明细	基本单位	关联选择	商品资料	按所选商品带出，作为数量的计量口径，不单独维护。
商品明细	销售数量	数值	手工录入	以基本单位计量，必须大于0；审核后固定，不因调整交期改变。
商品明细	含税单价	金额	手工录入或价格带出	按具体客户价、客户等级价、所有客户基准价的顺序取价；无价可手工填写，草稿可改，提交后锁定。
商品明细	税率	数值	手工录入或价格带出	从商品默认销售税率或销售价格带出；草稿可改，提交后锁定；允许0%。
商品明细	不含税单价	金额	系统计算	按含税单价和税率自动计算。
商品明细	价税合计	金额	系统计算	本行含税金额，按销售数量与含税单价计算。
商品明细	税额	金额	系统计算	本行税额，按价税合计与金额计算。
商品明细	金额	金额	系统计算	本行不含税金额，按销售数量与不含税单价计算。
商品明细	累计实际出库数量	数值	系统回写	由已审核销售出库单按来源行回写的累计实际出库数量。
商品明细	剩余发货数量	数值	系统计算	销售数量减累计实际出库数量，仅反映尚未实际出库的数量。
商品明细	可下推数量	数值	系统计算	销售数量减已结束通知实际出库数量，再减未结束有效通知数量；不同SKU不互抵，订单关闭后不能再安排。
商品明细	在途通知数量	数值	系统计算	未结束销售发货通知单占用的数量；通知取消成功释放，实际出库后由实际数量替代。
终止信息	关闭方式	枚举	人工关闭或系统自动	手动关闭、到期自动关闭、全部履约自动关闭；未关闭时留空。
终止信息	关闭原因	多行文本	手工录入	手工关闭时必填；系统自动关闭时留空，用关闭方式区分。
终止信息	关闭时间	日期时间	系统记录	关闭操作发生的时间；未关闭时留空。
终止信息	关闭操作人	用户引用	系统记录	手工关闭记录操作人；系统自动关闭时留空。
终止信息	取消原因	多行文本	手工录入	整单取消时填写。
终止信息	取消时间	日期时间	系统记录	取消操作发生的时间；未取消时留空。
终止信息	取消操作人	用户引用	系统记录	执行取消操作的人员；未取消时留空。
操作信息	审核人	用户引用	系统记录	最近一次完成审核或撤回的人员。
操作信息	审核时间	日期时间	系统记录	最近一次审核操作的时间。
操作信息	撤回意见	多行文本	手工录入	撤回时填写并保留；撤回后回到草稿。
操作信息	创建人	用户引用	系统记录	建单人员。
操作信息	创建时间	日期时间	系统记录	建单时间。
操作信息	最后更新人	用户引用	系统记录	最近修改人员。
操作信息	最后更新时间	日期时间	系统记录	最近修改时间。
