字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
分类信息	分类编码	文本	系统自动生成	是	只读	只读	是	否	是	分类标识；按层级拼接2位数字，系统自动生成。	一级01、二级0102、三级010203；新建下级时自动带出上级代码	编码规则见《6.强盛ERP的编码规则和通用字段规则》第二节
分类信息	分类名称	文本	手工录入	是	是	是	是	是	是	当前级别分类名称。	非空文本	树形表格支持按名称搜索
分类信息	上级分类	关联选择	新增下级自动带入或选择	条件必填	只读	是	否	否	是	一级为空；二级关联一级，三级关联二级；不允许循环关联。	二级、三级必填；一级没有上级	新增下级时自动带入；编辑时可调整，候选为符合层级的上层分类
分类信息	分类级别	数值	按上级关系确定	不适用（系统赋值）	只读	只读	是	否	是	仅1、2、3级，不独立手工填写与上级矛盾的级别；商品必须引用三级。	一级、二级、三级	随上级关系变化，不手工填写
分类信息	使用状态	枚举	人工维护	是	是	是	是	是	是	启用／禁用，不审核；禁用禁止新增引用，既有引用保留；上级禁用只阻止其下新增分类，既有下级按自身状态可被新商品引用。有下级的分类不能删。	启用、禁用；新增默认启用	在表单内维护，也可在列表启停；禁用不级联；有下级不能删
分类信息	备注	多行文本	手工录入	否	是	是	否	否	是	分类补充说明。	多行文本	非必填
维护信息	创建人	用户引用	系统记录	不适用（系统赋值）	否	否	否	否	是	建档人员。	系统记录	新增和编辑页不展示
维护信息	创建时间	日期时间	系统记录	不适用（系统赋值）	否	否	否	否	是	建档时间。	系统记录	新增和编辑页不展示
维护信息	最后更新人	用户引用	系统记录	不适用（系统赋值）	否	否	否	否	是	最近修改人员。	系统记录	新增和编辑页不展示
维护信息	最后更新时间	日期时间	系统记录	不适用（系统赋值）	否	否	否	否	是	最近修改时间。	系统记录	树形表格不展示该列，同级按创建先后排列
