字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
基本信息	商品编码	文本	人工维护	SKU 唯一标识，全链路主键；采购、入库、销售、结算均引用同一编码。编码规则待产品中心确认。
基本信息	商品名称	文本	人工维护	中文名称，用于采购单、入库单、报表及推送金蝶 / WMS。
基本信息	商品英文名称	文本	人工维护	英文名称，用于跨境业务单据及对外沟通；一期不做多语言扩展。
基本信息	商品状态	枚举	人工维护	生命周期状态：在售 / 停售。仅「在售」SKU 允许新建采购单；停售后在途采购、在库库存处理规则待确认。
基本信息	商品分类	关联	人工维护	关联品类树（一期建议 1～2 级，如充电类、数据线、储能等）；用于归类与报表汇总。
基本信息	基本单位	枚举	人工维护	计量基本单位，一期默认「个 / 件」；采购、库存、结算均以该单位计量。
基本信息	商品品牌	文本	人工维护	品牌名称，用于归类与对外展示参考。
基本信息	商品型号	文本	人工维护	厂商型号或内部型号，便于与规格书、厂商货号对照。
基本信息	商品开发人	文本	人工维护	负责该 SKU 建档或上市对接的产品 / 供应链人员，便于追溯责任人。
标识信息	主条码	文本	人工维护	商品主条码（如 EAN / UPC），仓储扫码入库、WMS 及订单归集的主识别码；一期必填。
标识信息	备条码	文本	人工维护	可选备用条码（如内外箱不同条码、旧码过渡）；支持多条时可用分隔符或子表，具体交互待设计。
物理属性	产品净长	数字	人工维护	单品净尺寸长度，单位建议统一为 cm；推送 WMS 用于库内体积测算。
物理属性	产品净宽	数字	人工维护	单品净尺寸宽度，单位建议统一为 cm。
物理属性	产品净高	数字	人工维护	单品净尺寸高度，单位建议统一为 cm。
物理属性	产品净重	数字	人工维护	单品净重，单位建议统一为 g 或 kg；关务、物流计费参考。
物理属性	外箱长	数字	人工维护	外箱尺寸长度，单位建议统一为 cm；仓储上架、打托参考。
物理属性	外箱宽	数字	人工维护	外箱尺寸宽度，单位建议统一为 cm。
物理属性	外箱高	数字	人工维护	外箱尺寸高度，单位建议统一为 cm。
物理属性	外箱毛重	数字	人工维护	整箱毛重，单位建议统一为 kg；物流、关务参考。
物理属性	箱规	数字	人工维护	每外箱装多少个基本单位（如 1 箱 = 50 个）；采购按箱、库存按个时的换算依据。
规格说明	规格说明	多行文本	人工维护	各品类差异化参数补充说明，如功率、接口类型、颜色、材质、线长等；一期用文本字段替代属性模板。
供应来源信息	默认供应商	关联	人工维护	关联采购模块供应商主数据；采购建单时自动带出，减少反复确认供货方。成品可能来自参股工厂代工或外部供应商。
供应来源信息	制造商	文本	人工维护	实际生产制造商名称；与默认供应商可能不同（如供应商为贸易商、制造商为工厂）。
供应来源信息	产地	文本	人工维护	商品生产地 / 原产地，用于采购沟通、关务及合规参考。
供应来源信息	厂商货号	文本	人工维护	供应商或制造商侧货号 / 型号，便于下单、对账与来货核对。
