字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
基本信息	商品编码	String	人工维护	是	是	否	是	是	是	SKU 唯一标识，全链路主键；采购、入库、销售、结算均引用同一编码	编码规则待产品中心确认；建议与历史系统及渠道侧 SKU 编码兼容	创建后不可修改；推送金蝶、WMS
基本信息	商品名称	String	人工维护	是	是	是	是	是	是	中文名称，用于采购单、入库单、报表及对外单据展示	长度建议 2～200 字符	推送金蝶、WMS
基本信息	商品英文名称	String	人工维护	否	是	是	否	否	是	英文名称，用于跨境业务单据及对外沟通	长度建议 2～200 字符	一期不做多语言扩展；跨境 SKU 建议填写
基本信息	商品状态	Enum	人工维护	是	是	是	是	是	是	生命周期状态，控制是否允许新建采购等业务操作	在售 / 停售；新建默认「在售」	仅「在售」SKU 允许新建采购单；停售后在途采购、在库库存处理规则待确认；变更后触发异步分发
基本信息	商品分类	Association	人工维护	是	是	是	是	是	是	关联品类树，用于归类、报表汇总及权限划分	选择品类树节点；一期建议 1～2 级（如充电类、数据线、储能等）	推送金蝶；品类扩展至 3 级视产品中心需要
基本信息	基本单位	Enum	人工维护	是	是	是	是	是	是	计量基本单位，采购、库存、结算均以该单位计量	一期枚举：个 / 件；默认「个」	推送金蝶；后续可扩展箱、套等
基本信息	商品品牌	String	人工维护	否	是	是	否	是	是	品牌名称，用于归类与对外展示参考	从品牌库选择或手工录入（一期可手工）	—
基本信息	商品型号	String	人工维护	否	是	是	否	否	是	厂商型号或内部型号，便于与规格书、厂商货号对照	—	—
基本信息	商品开发人	String	人工维护	否	是	是	否	是	是	负责该 SKU 建档或上市对接的产品 / 供应链人员	从组织架构选择或手工录入	便于追溯责任人
标识信息	主条码	String	人工维护	是	是	是	是	是	是	商品主条码，仓储扫码入库、WMS 及订单归集的主识别码	支持 EAN-13、UPC 等；需校验格式与唯一性	推送 WMS；一期必填
标识信息	备条码	String	人工维护	否	是	是	否	否	是	可选备用条码，如内外箱不同条码、旧码过渡	单条录入；多条时用英文逗号分隔，或二期改为子表	推送 WMS；存储方式待设计确认
物理属性	产品净长	Number	人工维护	否	是	是	否	否	是	单品净尺寸长度	单位：cm；保留 2 位小数	推送 WMS；是否必填待产品中心 + 仓储确认
物理属性	产品净宽	Number	人工维护	否	是	是	否	否	是	单品净尺寸宽度	单位：cm；保留 2 位小数	推送 WMS
物理属性	产品净高	Number	人工维护	否	是	是	否	否	是	单品净尺寸高度	单位：cm；保留 2 位小数	推送 WMS
物理属性	产品净重	Number	人工维护	否	是	是	否	否	是	单品净重，关务、物流计费参考	单位：g；保留 2 位小数	推送 WMS
物理属性	外箱长	Number	人工维护	否	是	是	否	否	是	外箱尺寸长度，仓储上架、打托参考	单位：cm；保留 2 位小数	推送 WMS
物理属性	外箱宽	Number	人工维护	否	是	是	否	否	是	外箱尺寸宽度	单位：cm；保留 2 位小数	推送 WMS
物理属性	外箱高	Number	人工维护	否	是	是	否	否	是	外箱尺寸高度	单位：cm；保留 2 位小数	推送 WMS
物理属性	外箱毛重	Number	人工维护	否	是	是	否	否	是	整箱毛重，物流、关务参考	单位：kg；保留 2 位小数	推送 WMS
物理属性	箱规	Number	人工维护	否	是	是	否	否	是	每外箱装多少个基本单位，采购按箱、库存按个时的换算依据	正整数；如 1 箱 = 50 个	推送 WMS；复杂箱规换算一期不做
规格说明	规格说明	MultiLineText	人工维护	否	是	是	否	否	是	各品类差异化参数补充说明	自由文本；如功率 65W、接口 Type-C、颜色黑色、线长 1m 等	一期用文本字段替代属性模板；不做按品类属性模板
供应来源信息	默认供应商	Association	人工维护	是	是	是	是	是	是	关联采购模块供应商主数据，采购建单时自动带出	下拉选择采购模块已启用供应商；不可重复建档	成品可能来自参股工厂代工或外部供应商；是否必填待确认；采购单引用时自动带出
供应来源信息	制造商	String	人工维护	否	是	是	否	否	是	实际生产制造商名称	—	与默认供应商可能不同（如供应商为贸易商、制造商为工厂）
供应来源信息	产地	String	人工维护	否	是	是	否	否	是	商品生产地 / 原产地	—	用于采购沟通、关务及合规参考；是否必填待确认
供应来源信息	厂商货号	String	人工维护	否	是	是	否	否	是	供应商或制造商侧货号 / 型号	—	便于下单、对账与来货核对；是否必填待确认
系统信息	创建人	String	系统生成	—	否（系统自动）	否	否	是	是	SKU 首次建档操作人	取当前登录用户	—
系统信息	创建时间	DateTime	系统生成	—	否（系统自动）	否	是	是	是	SKU 首次创建时间	系统自动记录	列表默认按创建时间倒序
系统信息	更新人	String	系统生成	—	否（系统自动）	否	否	否	是	最近一次修改操作人	取当前登录用户	配合变更日志使用
系统信息	更新时间	DateTime	系统生成	—	否（系统自动）	否	是	是	是	最近一次修改时间	系统自动记录	—
分发信息	金蝶同步状态	Enum	系统生成	—	否（系统自动）	否	是	是	是	ERP → 金蝶物料同步结果	未同步 / 同步中 / 已同步 / 失败	保存后异步触发；失败支持手动重推（P1）
分发信息	金蝶最近同步时间	DateTime	系统生成	—	否（系统自动）	否	否	否	是	最近一次向金蝶推送成功或失败的时间	系统自动记录	—
分发信息	WMS同步状态	Enum	系统生成	—	否（系统自动）	否	是	是	是	ERP → 第三方 WMS 同步结果	未同步 / 同步中 / 已同步 / 失败	保存后异步触发；失败支持手动重推（P1）
分发信息	WMS最近同步时间	DateTime	系统生成	—	否（系统自动）	否	否	否	是	最近一次向 WMS 推送成功或失败的时间	系统自动记录	—
