字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
单据信息	单号	文本	系统生成	通知单唯一标识；按统一编码规范自动生成，前缀DRTZ。
单据信息	来源分步式调拨单	关联选择	分步式调拨单	本单的来源主单；按实际调出量由系统自动生成，一张主单最多一张调入通知单。
单据信息	来源调出端直接调拨单	关联选择	系统记录	生成本通知单的来源调出端直接调拨单；点击可跳转调出端结果单详情。
单据信息	接收仓	关联选择	逻辑仓资料	本次接收的逻辑仓；沿用来源主单，不能为虚拟在途仓。
状态信息	单据状态	枚举	流程更新	一个字段串起推送与执行：待推送、推送中、推送失败、待收货、取消中、已收货、已取消。
状态信息	推送时间	日期时间	系统记录	最近一次推送接收仓的时间；未推送时留空。
状态信息	最终收货确认时间	日期时间	系统记录	接收仓最终回传接收结果的时间；未确认时留空。
状态信息	推送失败原因	多行文本	系统记录	推送接收仓明确失败时记录；重试成功后仍保留历史。
商品明细	行号	数值	系统记录	明细行顺序号。
商品明细	来源调拨单行	关联明细	分步式调拨单	关联来源主单明细；数量按来源行回写。
商品明细	商品	关联选择	商品资料	沿用来源主单行的商品。
商品明细	商品编码	文本	商品资料	随商品带出，明细单独成列展示。
商品明细	商品名称	文本	商品资料	随商品带出，明细单独成列展示。
商品明细	基本单位	关联选择	商品资料	随商品带出，作为数量的计量口径。
商品明细	通知调入数量	数值	系统生成	本次接收的指令数量；等于该行实际调出数量，不按原计划量提前下发。
商品明细	实际调入数量	数值	系统回写	接收仓回传的实际接收数量；必须大于0且不超过通知调入数量。
商品明细	少收数量	数值	系统计算	少收数量＝通知调入数量−实际调入数量；差额留在途，不自动抹平。
系统信息	创建人	用户引用	系统记录	系统自动生成时显示「系统」。
系统信息	创建时间	日期时间	系统记录	生成时间；通知单列表默认按此列倒序。
系统信息	最后更新人	用户引用	系统记录	最近修改人员；系统写入时显示「系统」。
系统信息	最后更新时间	日期时间	系统记录	最近修改时间。
