字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
基础信息	客户编码	文本	生成方式待确认	客户统一业务标识，生成及修改规则待确认。
基础信息	客户名称	文本	手工录入	客户正式名称；国内、跨境电商2C分别使用通用客户名称，不按消费者建档。
基础信息	客户分类	枚举	人工选择	代理商、国内电商2C客户、跨境电商2C客户、国内2B客户、跨境2B客户。
基础信息	客户等级	枚举	人工维护	S、A、B、C、未评级；人工维护，评价标准待确认，不影响销售资格。
基础信息	备注	多行文本	手工录入	候选；补充客户说明。
结算与付款资料	默认币别	关联选择	辅助资料／币别	客户默认交易币别。
结算与付款资料	结算方式	枚举	辅助资料／结算方式	电汇、现金、支票等支付方式；正式选项待确定，不另设同义付款方式字段。
结算与付款资料	收款条件	枚举	辅助资料／收款条件	枚举选择，预留选项；表达现款、月结或分阶段收款等，正式选项待确认。
联系人明细	联系人姓名	文本	手工录入	每条联系人的姓名或称呼；支持多条联系人。 通用2C档案不在此累计消费者资料。
联系人明细	联系人类型	枚举	人工选择	候选；如业务、财务、其他，具体选项待确认。
联系人明细	手机号码	文本	手工录入	候选；移动联系方式。
联系人明细	固定电话	文本	手工录入	候选；可包含区号及分机。
联系人明细	电子邮箱	文本	手工录入	候选；用于业务资料联系。
联系人明细	是否默认联系人	布尔	人工设置	每个客户最多一个默认联系人；引用时优先带入，无默认项时手动选择，不自动取第一条。
联系人明细	联系人备注	多行文本	手工录入	候选；该联系人的补充说明。
地址明细	地址类型	枚举	人工选择	候选；收货等地址用途，具体选项待确认，支持多条。
地址明细	国家／地区	关联选择	地区资料	候选；地址所属国家或地区。
地址明细	省	关联选择	地区资料	候选；地址所属行政区域。
地址明细	市	关联选择	地区资料	候选；地址所属行政区域。
地址明细	区	关联选择	地区资料	候选；地址所属行政区域。
地址明细	详细地址	文本	手工录入	街道、门牌、楼层等具体信息。 通用2C档案不在此累计消费者资料。
地址明细	地址联系人	文本	手工录入	候选；该地点实际对接或收货人员。
地址明细	联系电话	文本	手工录入	候选；该地点的联系电话。
地址明细	邮政编码	文本	手工录入	候选；邮寄使用，按文本保存。
地址明细	是否默认地址	布尔	人工设置	每个客户最多一个默认地址；引用时优先带入，无默认项时手动选择，不自动取第一条。
地址明细	地址备注	多行文本	手工录入	候选；该地址的补充说明。
银行信息	账户名称	文本	手工录入	银行账户开户名称；支持多条银行信息。 通用2C档案不在此累计消费者资料。
银行信息	银行账号	文本	手工录入	银行账号，按文本保存以保留前导零。
银行信息	开户银行	文本	手工录入	开户银行名称。
银行信息	开户支行	文本	手工录入	候选；具体开户网点。
银行信息	银行联行号	文本	手工录入	候选；付款使用的银行识别信息。
银行信息	账户币别	关联选择	辅助资料／币别	候选；账户对应币别。
银行信息	是否默认银行账户	布尔	人工设置	每个客户最多一个默认银行账户；引用时优先带入，无默认项时手动选择，不自动取第一条；默认不代表自动付款。
银行信息	账户备注	多行文本	手工录入	候选；该账户的使用说明。
工商信息	企业名称	文本	手工录入	工商登记企业名称。 每客户仅一套；通用2C及跨境客户适用性和必填口径待确认，不填写虚构企业资料。
工商信息	纳税人识别号	文本	手工录入	税务识别信息，按文本保存。 每客户仅一套；通用2C及跨境客户适用性和必填口径待确认，不填写虚构企业资料。
工商信息	注册地址	文本	手工录入	工商登记地址，区别于业务收货地址。 每客户仅一套；通用2C及跨境客户适用性和必填口径待确认，不填写虚构企业资料。
工商信息	注册电话	文本	手工录入	工商登记电话。 每客户仅一套；通用2C及跨境客户适用性和必填口径待确认，不填写虚构企业资料。
工商信息	工商开户银行	文本	手工录入	工商信息使用的开户银行，与多条银行信息的关联方式待确认。 每客户仅一套；通用2C及跨境客户适用性和必填口径待确认，不填写虚构企业资料。
工商信息	工商银行账号	文本	手工录入	工商信息使用的银行账号，按文本保存；与银行明细的关联方式待确认。 每客户仅一套；通用2C及跨境客户适用性和必填口径待确认，不填写虚构企业资料。
审核与使用状态	审核状态	枚举	流程更新	草稿、待审核、审核通过、已驳回；提交进入待审核，驳回后可修改并重新提交。已审核资料修改后的重审机制预留。
审核与使用状态	使用状态	枚举	人工维护	启用／禁用；新销售业务只能选择审核通过且启用的客户，等级不影响销售资格。
审核与使用状态	审核人	用户引用	系统记录	最近一次完成审核（通过或驳回）的人员。
审核与使用状态	审核时间	日期时间	系统记录	最近一次完成审核（通过或驳回）的时间。
维护信息	创建人	用户引用	系统记录	客户建档人员。
维护信息	创建时间	日期时间	系统记录	客户建档时间。
维护信息	更新人	用户引用	系统记录	最近修改资料的人员。
维护信息	更新时间	日期时间	系统记录	最近修改资料的时间。
