字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
单据信息	单号	文本	系统生成	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	通知单唯一标识；按统一编码规范自动生成。	按《6.强盛ERP的编码规则和通用字段规则》第一节生成，前缀DCTZ	无草稿态，生成时分配；用户不可编辑；取消后单号不重用
单据信息	来源分步式调拨单	关联选择	分步式调拨单	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	本单的来源主单；主单审核通过后系统自动生成，一张主单最多一张调出通知单。	已审核、业务状态正常的分步式调拨单	点击可跳转来源主单详情
单据信息	调出仓	关联选择	逻辑仓资料	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	本次调出的逻辑仓；库存按逻辑仓记账。	沿用来源主单调出仓；不能为虚拟在途仓	在途仓不可被业务单据选为出入库仓（《库存与仓储业务设计》§4.2）
状态信息	单据状态	枚举	流程更新	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	一个字段串起推送与执行；控制可执行操作。	待推送、推送中、推送失败、待发货、取消中、已发货、已取消	状态owner为《单据与状态流转》§三；不另设「推送成功」状态；推送中按《单据与状态流转》§三保留；不设部分发货状态
状态信息	推送时间	日期时间	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	最近一次推送调出仓的时间。	系统记录，格式YYYY-MM-DD HH:mm:ss	未推送时留空
状态信息	最终发货确认时间	日期时间	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	调出仓最终回传调出结果的时间。	系统记录，格式YYYY-MM-DD HH:mm:ss	未确认时留空
状态信息	推送失败原因	多行文本	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	推送调出仓明确失败时记录。	推送失败时记录	重试成功后仍保留历史；自动重试最多3次（R07）
终止信息	取消原因	多行文本	人工录入	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	取消通知单时录入的原因。	取消时录入；零调出按仓库确认说明记录	未取消时留空；取消原因必填；零调出取消的记录口径待确认（主PRD Q05）
终止信息	取消操作人	用户引用	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	执行取消的用户。	执行取消的账号姓名	零调出由系统按取消处理时留空；用户引用只展示姓名
终止信息	取消时间	日期时间	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	取消成功的时间。	系统记录，格式YYYY-MM-DD HH:mm:ss	未取消时留空
商品明细	行号	数值	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	明细行顺序号。	从1开始的整数	无
商品明细	来源调拨单行	关联明细	分步式调拨单	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	关联来源主单明细；数量按来源行回写。	关联来源分步式调拨单明细	数量按来源行回写
商品明细	商品	关联选择	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	否	是	是	沿用来源主单行的商品。	沿用来源分步式调拨单行的成品SKU	明细展示商品名称；页面按商品编码检索
商品明细	商品编码	文本	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	否	是	是	随商品带出，明细单独成列展示。	商品资料的商品编码	列表按编码模糊检索
商品明细	商品名称	文本	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	随商品带出，明细单独成列展示。	商品资料的当前名称	无
商品明细	基本单位	关联选择	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	随商品带出，作为数量的计量口径。	商品资料的基本单位	一期不做单位换算
商品明细	通知调出数量	数值	系统生成	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	本次调出的指令数量。	整数；等于来源主单该行的计划调拨数量	创建后不可改；一期数量不允许小数
商品明细	实际调出数量	数值	系统回写	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	调出仓回传的实际发出数量；消耗对应预占。	整数；0～通知调出数量	最终结果未确认前留空，页面显示 `-`；零调出按取消处理，实际调出显示0、未发＝通知调出数量
商品明细	未发数量	数值	系统计算	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	未发数量＝通知调出数量−实际调出数量。	整数；不小于0	未发部分释放预占、不回原单补发；需要再调拨另建主单
系统信息	创建人	用户引用	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	建单人员；系统自动生成时显示「系统」。	建单人员；自动生成时显示「系统」	系统自动生成（《6.强盛ERP的编码规则和通用字段规则》第三节）
系统信息	创建时间	日期时间	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	生成时间；列表默认按此列倒序。	系统记录，格式YYYY-MM-DD HH:mm:ss	通知单没有单据日期，页面用创建时间
系统信息	最后更新人	用户引用	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	最近修改人员；系统写入时显示「系统」。	最近修改人员	无
系统信息	最后更新时间	日期时间	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	最近修改时间。	系统记录，格式YYYY-MM-DD HH:mm:ss	无
