字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
单据信息	单号	文本	系统生成	是	只读	只读	是	是	是	采购价格调整单唯一标识；保存草稿时分配。	按《6.强盛ERP的编码规则和通用字段规则》第一节生成，前缀 CGJGTZ	用户不可编辑；新增页显示「保存后显示」
单据信息	供应商	关联选择	供应商资料	是	是	是	是	是	是	本次调价对应的供应商；一张单一个供应商。	审核通过且启用的供应商	按 Code-Name 展示；只表示价格归属，不建立供货资格（PRI-FR02）；变更后清空已填价格（PRI-FR05）
单据信息	币别	关联选择	辅助资料／币别	是	是	是	是	是	是	本次调价的币别；一张单一个币别。	辅助资料维护的启用币别	选供应商后默认带出供应商默认币别，无默认则手选；改供应商或改币别清空已填价格（PRI-FR04）
单据信息	明细条数	数值	系统计算	不适用（系统赋值）	否	只读	是	否	是	明细行数；列表展示用。	不小于0；等于明细行数	系统计算，不参与校验
单据信息	审核状态	枚举	流程更新	是	否	只读	是	是	是	草稿、待审核、已审核、已驳回。	草稿／待审核／已审核／已驳回	详情页页头以状态标签展示；驳回后回到可编辑（《单据与状态流转》第一节）
单据信息	备注	多行文本	手工录入	否	是	是	是	否	是	补充说明。	自由文本	列表过长时省略显示
商品明细	行号	数值	系统记录	是	只读	只读	否	否	是	明细行顺序号。	从1开始的整数	无
商品明细	商品	关联选择	商品资料	是	是	是	否	否	是	选择启用的成品SKU；不按该供应商是否已有价格过滤。	启用的成品SKU	后台关联字段；页面以商品编码列为选品入口，不单独展示商品列
商品明细	商品编码	文本	商品资料	是	只读	只读	否	是	是	按所选商品实时带出；新增编辑页本列为选品入口。	商品资料的商品编码	列表按编码模糊检索包含该商品的调整单
商品明细	商品条码	多行文本	商品资料	否	只读	只读	否	是	是	按所选商品实时带出。	商品资料的商品条码，一行一条	列表按条码模糊检索，任一条码命中即可
商品明细	商品名称	文本	商品资料	是	只读	只读	否	否	是	按所选商品实时带出。	商品资料的当前名称	无
商品明细	基本单位	关联选择	商品资料	是	只读	只读	否	否	是	按所选商品实时带出，作为计价口径。	商品资料的基本单位	一期不做单位换算（PRI-FR02）
商品明细	含税单价	金额	手工录入	是	是	是	否	否	是	本次调整后的含税单价；必须大于零。	大于0；保留4位小数	空值、零值、负值都不能提交；零值和负值在保存时即阻断（PRI-FR06、PRI-AC08）；页面按千分位展示
商品明细	税率	数值	手工录入	是	是	是	否	否	是	本次调整后的税率；草稿阶段可修正。	百分比，最多2位小数，允许0%	税率0%时不含税单价等于含税单价；采购侧税率不从商品带出，默认为空，由用户手动填写，提交前必填（主PRD Q01已定）
商品明细	不含税单价	金额	系统计算	是	只读	只读	否	否	是	按含税单价和税率计算，不单独维护。	含税单价÷(1+税率÷100)，四舍五入保留4位小数	计算口径见主PRD R05
操作信息	审核人	用户引用	系统记录	条件必填	否	否	否	否	是	最近一次完成审核或驳回的人员。	系统记录	新增和编辑页不展示；未审核时留空
操作信息	审核时间	日期时间	系统记录	条件必填	否	否	否	否	是	最近一次审核操作的时间。	系统记录	新增和编辑页不展示；未审核时留空
操作信息	驳回意见	多行文本	人工录入	条件必填	否	否	否	否	是	驳回时填写并保留。	驳回时填写	新增和编辑页不展示；未驳回时留空；长度按 REMARK_500
操作信息	创建人	用户引用	系统记录	不适用（系统赋值）	否	否	是	否	是	建单人员。	系统记录	可选列（列设置）；新增和编辑页不展示
操作信息	创建时间	日期时间	系统记录	不适用（系统赋值）	否	否	是	是	是	建单时间。	系统记录	新增和编辑页不展示；列表支持日期范围筛选；列表默认按此倒序
操作信息	最后更新人	用户引用	系统记录	不适用（系统赋值）	否	否	否	否	是	最近修改人员。	系统记录	新增和编辑页不展示
操作信息	最后更新时间	日期时间	系统记录	不适用（系统赋值）	否	否	是	否	是	最近修改时间。	系统记录	新增和编辑页不展示
