字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
基础信息	物流商编码	文本	系统生成或手工录入	是	是	只读	是	是	是	物流商业务标识；编码生成及修改规则见《6.强盛ERP的编码规则和通用字段规则》。	LOG+6位序号；保存时校验唯一	编码规则见《6.强盛ERP的编码规则和通用字段规则》第二节；一经保存不可改；列表关键词可检索
基础信息	物流商名称	文本	手工录入	是	是	是	是	是	是	承运企业名称。	非空文本	列表关键词可检索
联系信息	联系人	文本	手工录入	否	是	是	是	是	是	仅维护一条联系信息，不设多条或默认项。	文本	列表关键词可检索
联系信息	联系电话	文本	手工录入	否	是	是	是	是	是	物流商联系电话。	文本	非必填
联系信息	联系地址	文本	手工录入	否	是	是	是	否	是	物流商联系地址。	文本	非必填
状态信息	使用状态	枚举	人工维护	是	是	是	是	是	是	启用／禁用；不设提交审核。禁用只禁止新增服务产品关联，不影响已有产品发货和历史数据。	启用、禁用；新增默认启用	在表单内维护，也可在列表启停；父商禁用不级联产品
维护信息	创建人	用户引用	系统记录	不适用（系统赋值）	否	否	否	否	是	建档人员。	系统记录	新增和编辑页不展示
维护信息	创建时间	日期时间	系统记录	不适用（系统赋值）	否	否	否	否	是	建档时间。	系统记录	新增和编辑页不展示
维护信息	最后更新人	用户引用	系统记录	不适用（系统赋值）	否	否	是	否	是	最近修改人员。	系统记录	新增和编辑页不展示
维护信息	最后更新时间	日期时间	系统记录	不适用（系统赋值）	否	否	是	是	是	最近修改时间。	系统记录	列表默认按此列倒序
