字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
单据信息	单号	文本	系统生成	是	只读	只读	是	是	是	调拨单唯一标识；按统一编码规范自动生成。	按《6.强盛ERP的编码规则和通用字段规则》第一节生成，前缀FBDB	保存草稿时分配；用户不可编辑；取消、删除后单号不重用
单据信息	调出仓	关联选择	逻辑仓资料	是	是	是	是	是	是	本次调拨的发出逻辑仓；库存按逻辑仓记账。	审核通过且启用的逻辑仓；不能选择虚拟在途仓	在途仓只用于分步式调拨在途记账（《库存与仓储业务设计》§4.2）；已禁用逻辑仓不可新选，已有业务继续；展示按Code-Name
单据信息	接收仓	关联选择	逻辑仓资料	是	是	是	是	是	是	本次调拨的接收逻辑仓；不能与调出仓相同。	审核通过且启用的逻辑仓；不能选择虚拟在途仓；不能与调出仓相同	在途仓不可选；调拨是仓与仓之间的转移，同仓状态调整走直接调拨（INV-FR03、INV-FR07）
单据信息	备注	多行文本	人工录入	否	是	是	否	否	是	补充说明。	自由文本	长度按REMARK_500
数量进度	计划调拨数量合计	数值	系统计算	是	否	只读	是	否	是	各明细行计划调拨数量之和。	整数；不小于0	0按0展示；一期数量不允许小数
数量进度	累计实际调出合计	数值	系统回写	条件必填	否	只读	是	否	是	各明细行累计实际调出之和；由已审核调出端直接调拨单按来源行回写。	整数；不小于0	最终结果未确认前留空，页面显示 `-`
数量进度	累计实际调入合计	数值	系统回写	条件必填	否	只读	是	否	是	各明细行累计实际调入之和；由已审核调入端直接调拨单按来源行回写。	整数；不小于0	最终结果未确认前留空，页面显示 `-`
数量进度	在途数量合计	数值	系统计算	是	否	只读	是	否	是	调拨在途＝累计实际调出−累计实际调入；少收差额继续留在途。	整数；不小于0	《单据与状态流转》§六；少收差异不自动抹平
状态信息	审核状态	枚举	流程更新	是	否	只读	是	是	是	控制编辑、审核与能否进入两端执行。	草稿、待审核、已审核	状态owner为《单据与状态流转》§二；无已驳回态，待审核不同意用撤回
状态信息	业务状态	枚举	流程更新	是	否	只读	是	是	是	控制是否继续办理；已关闭在页面展示为「已完结」。	正常、已关闭、已取消	两端执行完成自动完结记「已关闭」；零调出按取消记「已取消」
状态信息	关闭方式	枚举	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	主单自动完结时记录；系统自动完结。	两端执行完成自动完结	关闭原因与关闭操作人留空，用关闭方式区分；未完结时留空；当前画法，见主PRD Q01；若Q01结论变化需增枚举
状态信息	关闭时间	日期时间	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	主单自动完结的时间。	系统记录，格式YYYY-MM-DD HH:mm:ss	未完结时留空
终止信息	取消原因	多行文本	人工录入	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	待审核取消或零调出按取消时记录。	取消时录入；零调出按仓库确认说明记录	未取消时留空；取消原因必填；零调出取消的记录口径待确认（见《调出通知单主PRD》Q05）
终止信息	取消操作人	用户引用	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	执行取消的用户。	执行取消的账号姓名	零调出由系统按取消处理时留空；用户引用只展示姓名
终止信息	取消时间	日期时间	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	取消生效时间。	系统记录，格式YYYY-MM-DD HH:mm:ss	未取消时留空
审核信息	审核人	用户引用	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	审核通过的操作人。	审核通过的操作人	未审核时留空；允许本人审核本人创建的单据（COM-FR01）
审核信息	审核时间	日期时间	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	审核通过时间。	系统记录，格式YYYY-MM-DD HH:mm:ss	未审核时留空
审核信息	撤回意见	多行文本	人工录入	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	待审核撤回时填写的原因；回到草稿后保留。	撤回时录入	未撤回时留空；无已驳回态，待审核不同意用撤回
商品明细	行号	数值	系统记录	是	只读	只读	否	否	是	明细行顺序号。	从1开始的整数	无
商品明细	商品	关联选择	商品资料	是	是	是	否	是	是	本行商品；明细展示商品名称。	启用的成品SKU	同一商品重复行的处理待确认（Q02）
商品明细	商品编码	文本	商品资料	是	只读	只读	否	是	是	随商品带出，明细单独成列展示。	商品资料的商品编码	列表按编码模糊检索；随商品带出，不独立维护
商品明细	商品名称	文本	商品资料	是	只读	只读	否	否	是	随商品带出，明细单独成列展示。	商品资料的当前名称	商品改名后按最新名称展示
商品明细	基本单位	关联选择	商品资料	是	只读	只读	否	否	是	随商品带出，作为数量的计量口径。	商品资料的基本单位	一期不做单位换算
商品明细	计划调拨数量	数值	人工录入	是	是	是	是	否	是	本行计划调拨的数量；审核时按此数量预占调出仓，审核后固定。	整数；大于0；按基本单位	一期数量不允许小数；可用不足不能审核（R07）
商品明细	累计实际调出	数值	系统回写	条件必填	否	只读	是	否	是	调出仓实际发出的数量；由已审核调出端直接调拨单按来源行回写。	整数；不小于0；不超过计划调拨数量	最终结果未确认前留空，页面显示 `-`；实出消耗预占、未发释放预占
商品明细	累计实际调入	数值	系统回写	条件必填	否	只读	是	否	是	接收仓实际收到的数量；由已审核调入端直接调拨单按来源行回写。	整数；不小于0；不超过累计实际调出	最终结果未确认前留空，页面显示 `-`；少收部分继续留在途
商品明细	未调出数量	数值	系统计算	是	否	只读	是	否	是	未调出数量＝计划调拨数量−累计实际调出。	整数；不小于0	零调出时等于计划调拨数量；未发部分释放预占、不回原单补发
商品明细	在途数量	数值	系统计算	是	否	只读	是	否	是	本行调拨在途＝累计实际调出−累计实际调入。	整数；不小于0	少收差额继续留在途，后续用其他出库从在途逻辑仓扣减
系统信息	创建人	用户引用	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	建单人员。	建单人员	无
系统信息	创建时间	日期时间	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	建单时间；列表默认按此列倒序。	系统记录，格式YYYY-MM-DD HH:mm:ss	安排单列表默认按创建时间倒序
系统信息	最后更新人	用户引用	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	最近修改人员。	最近修改人员	无
系统信息	最后更新时间	日期时间	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	最近修改时间。	系统记录，格式YYYY-MM-DD HH:mm:ss	无
